"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"25-06-2019","Não","440","08:30","09:15","45","""Jorge Antonio de Oliveira Francisco, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"25-06-2019","Não","440","09:15","10:00","45","""Karina Kufa, Advogada""","""Palácio do Planalto"""
"25-06-2019","Não","440","10:00","10:15","15","""Pedro Guimarães, Presidente da CAIXA""","""Palácio do Planalto"""
"25-06-2019","Não","440","10:15","10:30","15","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República""","""Palácio do Planalto"""
"25-06-2019","Não","440","10:30","11:00","30","""Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República""","""Palácio do Planalto"""
"25-06-2019","Não","440","11:00","11:30","30","""Deputado Major Vitor Hugo (PSL/GO), Líder do Governo na Câmara dos Deputados; Deputada Greyce Elias (Avante/MG) e Durval Queiroz, jogador de futebol americano""","""Palácio do Planalto"""
"25-06-2019","Não","440","11:30","12:00","30","""Augusto Nardes, Ministro do Tribunal de Contas da União""","""Palácio do Planalto"""
"25-06-2019","Não","440","12:30","14:10","100","""Cuiabano Lima, Locutor de Rodeio, Narrador e Apresentador""","""Palácio do Planalto"""
"25-06-2019","Não","440","14:00","14:30","30","""Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; e Jorge Antônio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"25-06-2019","Não","440","14:30","15:00","30","""Marcos Cintra, Secretário da Receita Federal""","""Palácio do Planalto"""
"25-06-2019","Não","440","18:00","19:00","60","""Jorge Antônio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio do Planalto"""
"25-06-2019","Não","440","23:00","23:10","10","""Partida de Brasília/DF para Lisboa/Portugal""","""Base Aérea de Brasília"""
