"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"12-01-2023","Não","100","09:00","09:10","10","""""","""Palácio do Planalto"""
"12-01-2023","Não","100","09:30","09:40","10","""""","""Palácio do Planalto"""
"12-01-2023","Não","100","11:00","11:10","10","""""","""Palácio do Planalto"""
"12-01-2023","Não","100","11:30","11:40","10","""""","""Palácio do Planalto"""
"12-01-2023","Não","100","12:30","12:40","10","""""","""Palácio do Planalto"""
"12-01-2023","Não","100","14:30","14:40","10","""""","""Palácio do Planalto"""
"12-01-2023","Não","100","15:00","15:10","10","""""","""Palácio do Planalto"""
"12-01-2023","Não","100","16:00","16:10","10","""""","""Palácio do Planalto"""
"12-01-2023","Não","100","17:00","17:10","10","""""","""Palácio do Planalto"""
"12-01-2023","Não","100","18:00","18:10","10","""""","""Caixa Cultural Brasília"""
