DIA,SEM_COMPROMISSO,DURACAO_DIA,INICIO,FIM,DURACAO_COMPROMISSO,TITULO,LOCAL
"09-01-2023","Não","70","09:00","09:10","10","""""","""Palácio do Planalto"""
"09-01-2023","Não","70","10:00","10:10","10","""""","""Palácio do Planalto"""
"09-01-2023","Não","70","15:00","15:10","10","""""","""Palácio do Planalto"""
"09-01-2023","Não","70","15:30","15:40","10","""""","""Palácio do Planalto"""
"09-01-2023","Não","70","16:30","16:40","10","""""","""Palácio do Planalto"""
"09-01-2023","Não","70","18:00","18:10","10","""""","""Palácio do Planalto"""
"09-01-2023","Não","70","18:40","18:50","10","""""","""Palácio do Planalto"""
"17-01-2023","Não","60","09:00","09:10","10","""""","""Palácio do Planalto"""
"17-01-2023","Não","60","10:00","10:10","10","""""","""Palácio do Planalto"""
"17-01-2023","Não","60","11:30","11:40","10","""""","""Palácio do Planalto"""
"17-01-2023","Não","60","15:00","15:10","10","""""","""Palácio do Planalto"""
"17-01-2023","Não","60","16:30","16:40","10","""""","""Palácio do Planalto"""
"17-01-2023","Não","60","18:00","18:10","10","""""","""Palácio do Planalto"""
"22-01-2023","Não","10","18:00","18:10","10","""""","""Base Aérea de Brasília"""
"21-01-2023","Não","60","07:00","07:10","10","""""","""Base Aérea de Brasília"""
"21-01-2023","Não","60","09:30","09:40","10","""""","""Base Aérea de Boa Vista"""
"21-01-2023","Não","60","10:00","10:10","10","""""","""Boa Vista (RR)"""
"21-01-2023","Não","60","11:00","11:10","10","""""","""Boa Vista (RR)"""
"21-01-2023","Não","60","13:00","13:10","10","""""","""Base Aérea de Boa Vista"""
"21-01-2023","Não","60","17:30","17:40","10","""""","""Base Aérea de Brasília"""
"18-01-2023","Não","50","09:00","09:10","10","""""","""Palácio do Planalto"""
"18-01-2023","Não","50","09:30","09:40","10","""""","""Palácio do Planalto"""
"18-01-2023","Não","50","11:00","11:10","10","""""","""Salão Nobre, Palácio do Planalto"""
"18-01-2023","Não","50","15:00","15:10","10","""""","""Palácio do Planalto"""
"18-01-2023","Não","50","16:30","16:40","10","""""","""Palácio do Planalto"""
"03-01-2023","Não","10","09:00","09:10","10","""""","""Santos (SP)"""
"08-01-2023","Não","80","14:00","14:10","10","""""","""São Paulo (SP)"""
"08-01-2023","Não","80","14:30","14:40","10","""""","""Araraquara (SP)"""
"08-01-2023","Não","80","14:50","15:00","10","""""","""Araraquara (SP)"""
"08-01-2023","Não","80","15:45","15:55","10","""""","""Araraquara (SP)"""
"08-01-2023","Não","80","19:30","19:40","10","""""","""Araraquara (SP)"""
"08-01-2023","Não","80","20:50","21:00","10","""""","""Base Aérea de Brasília"""
"08-01-2023","Não","80","21:40","21:50","10","""""","""Palácio do Planalto"""
