Year,"State of company","US$ FOB"
2022,"São Paulo",42073053717
2022,"Rio de Janeiro",26945371534
2022,"Minas Gerais",21304983103
2022,"Mato Grosso",19048541022
2022,Paraná,15024908077
2022,Pará,12849417651
2022,"Rio Grande do Sul",11315956154
2022,"Santa Catarina",8214911642
2022,Bahia,7982324585
2022,Goiás,7853638248
2022,"Espírito Santo",5508548813
2022,Maranhão,3436859080
2022,"Mato Grosso do Sul",3411336398
2022,Pernambuco,1946714070
2022,Tocantins,1746688640
2022,Ceará,1570678231
2022,Rondônia,1514337614
2022,Piauí,760925397
2022,Amazonas,648759835
2022,Roraima,251599802
2022,Alagoas,208394750
2022,"Rio Grande do Norte",176364287
2022,Paraíba,167894676
2022,Amapá,118070538
2022,"Distrito Federal",75040916
2022,Sergipe,67916510
2022,Acre,27764049
2022,Exterior,84371
2021,"São Paulo",57419343322
2021,"Rio de Janeiro",37243334086
2021,"Minas Gerais",34573433223
2021,Pará,29353235439
2021,Paraná,21176647686
2021,"Mato Grosso",20242007740
2021,"Rio Grande do Sul",19610446709
2021,"Santa Catarina",12801166514
2021,"Espírito Santo",9719986226
2021,Bahia,9496277741
2021,Goiás,8011859791
2021,"Mato Grosso do Sul",4687109331
2021,Maranhão,4507274188
2021,Ceará,2838417092
2021,Pernambuco,2423577642
2021,Tocantins,1804989376
2021,Rondônia,1565839662
2021,Amazonas,980101168
2021,Piauí,686341325
2021,Roraima,366331289
2021,"Rio Grande do Norte",307571058
2021,Alagoas,280207547
2021,Amapá,272176183
2021,Paraíba,184492144
2021,"Distrito Federal",117286836
2021,Sergipe,100917283
2021,Acre,42857409
2021,Exterior,1349450
2020,"São Paulo",46702064938
2020,"Minas Gerais",24057822539
2020,"Rio de Janeiro",23647291410
2020,Pará,20235721095
2020,Paraná,17663968503
2020,"Mato Grosso",16664592739
2020,"Rio Grande do Sul",13250231890
2020,"Santa Catarina",10005131914
2020,Bahia,7663754447
2020,Goiás,7362507102
2020,"Espírito Santo",5035040484
2020,"Mato Grosso do Sul",4400115798
2020,Maranhão,3434451641
2020,Pernambuco,1932109856
2020,Ceará,1849021818
2020,Rondônia,1347184693
2020,Tocantins,1331206240
2020,Amazonas,774071032
2020,Piauí,483071009
2020,Alagoas,303798554
2020,Amapá,300614716
2020,"Rio Grande do Norte",280267613
2020,Roraima,179959363
2020,Paraíba,111540332
2020,"Distrito Federal",89273814
2020,Sergipe,45728587
2020,Acre,29699528
