epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202121,2021-05-24,433,SP,São José dos Campos,3549904,city,68747,9420.79133,0,1378,0,0.02,729737,False,True
202121,2021-05-23,432,SP,São José dos Campos,3549904,city,68747,9420.79133,0,1378,0,0.02,729737,False,True
202120,2021-05-22,431,SP,São José dos Campos,3549904,city,68747,9420.79133,0,1378,0,0.02,729737,False,True
202120,2021-05-21,430,SP,São José dos Campos,3549904,city,68747,9420.79133,0,1378,0,0.02,729737,False,True
202120,2021-05-20,429,SP,São José dos Campos,3549904,city,68747,9420.79133,416,1378,6,0.02,729737,True,False
202120,2021-05-19,428,SP,São José dos Campos,3549904,city,68331,9363.78449,361,1372,11,0.0201,729737,False,False
202120,2021-05-18,427,SP,São José dos Campos,3549904,city,67970,9314.31461,339,1361,18,0.02,729737,False,False
202120,2021-05-17,426,SP,São José dos Campos,3549904,city,67631,9267.85952,552,1343,4,0.0199,729737,False,False
202120,2021-05-16,425,SP,São José dos Campos,3549904,city,67079,9192.21583,0,1339,0,0.02,729737,False,True
202119,2021-05-15,424,SP,São José dos Campos,3549904,city,67079,9192.21583,320,1339,10,0.02,729737,False,False
202119,2021-05-14,423,SP,São José dos Campos,3549904,city,66759,9148.36441,402,1329,7,0.0199,729737,False,False
202119,2021-05-13,422,SP,São José dos Campos,3549904,city,66357,9093.27607,388,1322,7,0.0199,729737,False,False
202119,2021-05-12,421,SP,São José dos Campos,3549904,city,65969,9040.10623,347,1315,12,0.0199,729737,False,False
202119,2021-05-11,420,SP,São José dos Campos,3549904,city,65622,8992.55485,317,1303,21,0.0199,729737,False,False
202119,2021-05-10,419,SP,São José dos Campos,3549904,city,65305,8949.11454,265,1282,0,0.0196,729737,False,False
202119,2021-05-09,418,SP,São José dos Campos,3549904,city,65040,8912.80009,248,1282,7,0.0197,729737,False,False
202118,2021-05-08,417,SP,São José dos Campos,3549904,city,64792,8878.81524,300,1275,9,0.0197,729737,False,False
202118,2021-05-07,416,SP,São José dos Campos,3549904,city,64492,8837.70454,336,1266,9,0.0196,729737,False,False
202118,2021-05-06,415,SP,São José dos Campos,3549904,city,64156,8791.66056,373,1257,7,0.0196,729737,False,False
202118,2021-05-05,414,SP,São José dos Campos,3549904,city,63783,8740.54625,336,1250,9,0.0196,729737,False,False
202118,2021-05-04,413,SP,São José dos Campos,3549904,city,63447,8694.50227,319,1241,25,0.0196,729737,False,False
202118,2021-05-03,412,SP,São José dos Campos,3549904,city,63128,8650.78789,197,1216,0,0.0193,729737,False,False
202118,2021-05-02,411,SP,São José dos Campos,3549904,city,62931,8623.79186,473,1216,9,0.0193,729737,False,False
202117,2021-05-01,410,SP,São José dos Campos,3549904,city,62458,8558.97399,0,1207,0,0.0193,729737,False,True
202117,2021-04-30,409,SP,São José dos Campos,3549904,city,62458,8558.97399,320,1207,3,0.0193,729737,False,False
202117,2021-04-29,408,SP,São José dos Campos,3549904,city,62138,8515.12257,318,1204,12,0.0194,729737,False,False
202117,2021-04-28,407,SP,São José dos Campos,3549904,city,61820,8471.54523,379,1192,10,0.0193,729737,False,False
202117,2021-04-27,406,SP,São José dos Campos,3549904,city,61441,8419.60871,352,1182,9,0.0192,729737,False,False
202117,2021-04-26,405,SP,São José dos Campos,3549904,city,61089,8371.37215,216,1173,0,0.0192,729737,False,False
202117,2021-04-25,404,SP,São José dos Campos,3549904,city,60873,8341.77245,589,1173,16,0.0193,729737,False,False
202116,2021-04-24,403,SP,São José dos Campos,3549904,city,60284,8261.05844,0,1157,0,0.0192,729737,False,True
202116,2021-04-23,402,SP,São José dos Campos,3549904,city,60284,8261.05844,408,1157,13,0.0192,729737,False,False
202116,2021-04-22,401,SP,São José dos Campos,3549904,city,59876,8205.14788,241,1144,0,0.0191,729737,False,False
202116,2021-04-21,400,SP,São José dos Campos,3549904,city,59635,8172.12229,347,1144,7,0.0192,729737,False,False
202116,2021-04-20,399,SP,São José dos Campos,3549904,city,59288,8124.57091,256,1137,18,0.0192,729737,False,False
202116,2021-04-19,398,SP,São José dos Campos,3549904,city,59032,8089.48978,202,1119,1,0.019,729737,False,False
202116,2021-04-18,397,SP,São José dos Campos,3549904,city,58830,8061.80857,237,1118,10,0.019,729737,False,False
202115,2021-04-17,396,SP,São José dos Campos,3549904,city,58593,8029.33112,297,1108,7,0.0189,729737,False,False
