REGISTER_DATE,CASES,DEATHS
2021-03-29,53480,954
2021-03-28,53334,954
2021-03-27,53116,952
2021-03-26,52873,946
2021-03-25,52470,920
2021-03-24,52130,917
2021-03-23,51808,904
2021-03-22,51511,900
2021-03-21,51285,900
2021-03-20,51058,896
2021-03-19,50838,896
2021-03-18,50589,893
2021-03-17,50278,883
2021-03-16,49975,880
2021-03-15,49683,870
2021-03-14,49509,870
2021-03-13,49265,868
2021-03-12,49000,863
2021-03-11,48658,857
2021-03-10,48391,856
2021-03-09,48178,852
2021-03-08,47934,845
2021-03-07,47799,845
2021-03-06,47703,845
2021-03-05,47535,843
2021-03-04,47321,838
2021-03-03,47103,836
2021-03-02,46850,831
2021-03-01,46715,828
2021-02-28,46608,828
2021-02-27,46498,827
2021-02-26,46371,822
2021-02-25,46186,818
2021-02-24,46021,811
2021-02-23,45691,808
2021-02-22,45492,804
2021-02-21,45399,804
2021-02-20,45248,801
2021-02-19,45100,800
2021-02-18,44884,786
2021-02-17,44706,785
2021-02-16,44546,783
2021-02-15,44310,779
2021-02-14,44215,779
2021-02-13,44130,777
2021-02-12,43962,777
2021-02-11,43747,765
2021-02-10,43459,763
2021-02-09,43136,755
2021-02-08,42636,747
2021-02-07,42485,747
2021-02-06,42362,746
2021-02-05,41632,740
2021-02-04,40538,734
2021-02-03,39754,730
2021-02-02,38844,719
2021-02-01,38494,708
2021-01-31,38454,708
2021-01-30,38277,707
2021-01-29,37729,706
2021-01-28,37276,696
2021-01-27,36661,688
2021-01-26,36100,680
2021-01-25,35327,664
2021-01-24,35268,664
2021-01-23,35167,663
2021-01-22,34517,657
2021-01-21,34059,647
2021-01-20,33672,643
2021-01-19,33222,637
2021-01-18,32642,627
2021-01-17,32554,627
2021-01-16,32352,625
2021-01-15,31788,620
2021-01-14,31251,614
2021-01-13,30729,605
2021-01-12,30144,596
2021-01-11,29420,589
2021-01-10,29234,589
2021-01-09,28862,588
2021-01-08,28418,579
2021-01-07,27706,577
2021-01-06,27098,572
2021-01-05,26597,563
2021-01-04,26312,547
2021-01-03,26258,547
2021-01-02,26147,547
2020-12-31,25853,545
2020-12-29,25245,545
2020-12-28,24908,544
2020-12-27,24873,544
2020-12-26,24780,543
2020-12-25,24740,543
2020-12-24,24617,539
2020-12-23,24295,537
2020-12-22,23890,535
2020-12-21,23699,532
2020-12-20,23644,532
2020-12-19,23644,532
2020-12-18,23424,530
2020-12-17,22962,528
2020-12-15,22528,519
2020-12-14,22449,514
2020-12-13,22397,514
2020-12-12,22391,514
2020-12-11,22209,510
2020-12-10,22093,508
2020-12-09,21929,504
2020-12-08,21743,503
2020-12-07,21533,500
2020-12-06,21502,500
2020-12-05,21445,498
2020-12-04,21322,497
2020-12-03,21161,497
2020-12-02,21051,495
2020-12-01,20939,492
2020-11-30,20812,492
2020-11-29,20806,492
2020-11-28,20773,492
2020-11-27,20725,491
2020-11-26,20694,491
2020-11-25,20633,490
2020-11-24,20493,490
2020-11-23,20429,488
2020-11-22,20398,488
2020-11-21,20342,487
2020-11-19,20135,486
2020-11-18,19949,485
2020-11-17,19867,483
2020-11-16,19748,483
2020-11-15,19744,483
2020-11-14,19722,483
2020-11-13,19667,478
2020-11-12,19561,478
2020-11-11,19466,473
2020-11-10,19447,472
2020-11-05,19195,472
2020-11-04,19180,470
2020-11-03,19151,466
2020-11-02,19148,466
2020-10-31,19119,465
2020-10-30,19087,464
2020-10-29,19003,462
2020-10-28,18949,462
2020-10-27,18904,461
2020-10-26,18857,461
2020-10-25,18848,461
2020-10-24,18825,461
2020-10-23,18752,461
2020-10-22,18687,460
2020-10-21,18654,460
2020-10-20,18570,460
2020-10-19,18523,456
2020-10-18,18518,456
2020-10-17,18503,456
2020-10-15,18389,455
2020-10-14,18321,455
2020-10-13,18267,453
2020-10-12,18260,453
2020-10-11,18254,453
2020-10-10,18219,453
2020-10-09,18137,449
2020-10-08,18022,449
2020-10-06,17882,444
2020-10-03,17753,438
2020-10-02,17680,437
2020-10-01,17588,435
2020-09-30,17494,434
2020-09-29,17359,431
2020-09-28,17228,428
2020-09-27,17222,428
2020-09-26,17210,428
2020-09-25,17075,427
2020-09-24,16902,421
2020-09-23,16740,420
2020-09-22,16600,414
2020-09-21,16504,400
2020-09-20,16472,400
2020-09-19,16383,400
2020-09-18,16191,398
2020-09-17,15806,396
2020-09-16,15545,393
2020-09-15,15235,389
2020-09-14,15012,383
2020-09-13,15005,383
2020-09-12,14978,382
2020-09-11,14665,379
2020-09-10,14473,376
2020-09-09,14349,375
2020-09-08,14189,363
2020-09-06,14096,363
2020-09-05,14019,363
2020-09-04,13782,363
2020-09-03,13628,362
2020-09-02,13388,361
2020-09-01,13171,353
2020-08-31,12897,341
2020-08-30,12885,341
2020-08-28,12730,336
2020-08-27,12358,330
2020-08-26,12187,324
2020-08-25,11884,321
2020-08-24,11695,309
2020-08-23,11646,309
2020-08-22,11424,309
2020-08-21,11167,305
2020-08-20,10944,298
2020-08-19,10672,295
2020-08-18,10442,291
2020-08-17,10263,281
2020-08-16,10169,281
2020-08-15,10153,276
2020-08-14,9822,274
2020-08-13,9589,271
2020-08-12,9109,262
2020-08-11,8891,256
2020-08-10,8686,232
2020-08-09,8677,232
2020-08-08,8506,232
2020-08-07,8181,230
2020-08-06,7982,226
2020-08-05,7603,221
2020-08-04,7485,215
2020-08-03,7222,204
2020-08-02,7217,204
2020-08-01,7055,204
2020-07-31,6932,200
2020-07-30,6623,195
2020-07-29,6516,192
2020-07-28,6196,186
2020-07-27,6138,184
2020-07-26,6105,184
2020-07-25,5999,182
2020-07-24,5767,172
2020-07-23,5526,165
2020-07-22,5232,156
2020-07-21,4822,153
2020-07-20,4736,141
