sigla_partido,sigla_uf,ano,motivo
AVANTE,AC,2021,CANCELAMENTO AUTOMÁTICO
AVANTE,AC,2021,CANCELAMENTO AUTOMÁTICO
AVANTE,AC,2021,CANCELAMENTO AUTOMÁTICO
CIDADANIA,AC,2021,CANCELAMENTO AUTOMÁTICO
CIDADANIA,AC,2021,CANCELAMENTO AUTOMÁTICO
PATRIOTA,AC,2021,CANCELAMENTO AUTOMÁTICO
PATRIOTA,AC,2021,CANCELAMENTO AUTOMÁTICO
PATRIOTA,AC,2021,CANCELAMENTO AUTOMÁTICO
PATRIOTA,AC,2021,CANCELAMENTO AUTOMÁTICO
PATRIOTA,AC,2021,CANCELAMENTO AUTOMÁTICO
DC,AC,2021,A PEDIDO DO ELEITOR
DEM,AC,2021,CANCELAMENTO AUTOMÁTICO
DEM,AC,2021,CANCELAMENTO AUTOMÁTICO
DEM,AC,2021,CANCELAMENTO AUTOMÁTICO
PCO,AC,2021,CANCELAMENTO AUTOMÁTICO
PCO,AC,2021,CANCELAMENTO AUTOMÁTICO
PL,AC,2021,A PEDIDO DO ELEITOR
PL,AC,2021,A PEDIDO DO ELEITOR
PL,AC,2021,A PEDIDO DO ELEITOR
PL,AC,2021,A PEDIDO DO ELEITOR
PL,AC,2021,CANCELAMENTO AUTOMÁTICO
PL,AC,2021,CANCELAMENTO AUTOMÁTICO
PL,AC,2021,CANCELAMENTO AUTOMÁTICO
PL,AC,2021,CANCELAMENTO AUTOMÁTICO
PL,AC,2021,CANCELAMENTO AUTOMÁTICO
PMB,AC,2021,JUDICIAL
PCDOB,AC,2021,CANCELAMENTO AUTOMÁTICO
PCDOB,AC,2021,A PEDIDO DO ELEITOR
PCDOB,AC,2021,A PEDIDO DO ELEITOR
PCDOB,AC,2021,CANCELAMENTO AUTOMÁTICO
PCDOB,AC,2021,A PEDIDO DO ELEITOR
PCDOB,AC,2021,A PEDIDO DO ELEITOR
PCDOB,AC,2021,CANCELAMENTO AUTOMÁTICO
PCDOB,AC,2021,A PEDIDO DO ELEITOR
PCDOB,AC,2021,CANCELAMENTO AUTOMÁTICO
PCDOB,AC,2021,CANCELAMENTO AUTOMÁTICO
PCDOB,AC,2021,A PEDIDO DO ELEITOR
PCDOB,AC,2021,CANCELAMENTO AUTOMÁTICO
PCDOB,AC,2021,CANCELAMENTO AUTOMÁTICO
PCDOB,AC,2021,CANCELAMENTO AUTOMÁTICO
PDT,AC,2021,CANCELAMENTO AUTOMÁTICO
MDB,AC,2021,CANCELAMENTO AUTOMÁTICO
MDB,AC,2021,CANCELAMENTO AUTOMÁTICO
MDB,AC,2200,JUDICIAL
MDB,AC,2021,CANCELAMENTO AUTOMÁTICO
MDB,AC,2021,CANCELAMENTO AUTOMÁTICO
MDB,AC,2021,CANCELAMENTO AUTOMÁTICO
MDB,AC,2021,CANCELAMENTO AUTOMÁTICO
MDB,AC,2021,CANCELAMENTO AUTOMÁTICO
MDB,AC,2021,CANCELAMENTO AUTOMÁTICO
MDB,AC,2021,CANCELAMENTO AUTOMÁTICO
PROS,AC,2021,CANCELAMENTO AUTOMÁTICO
PROS,AC,2021,CANCELAMENTO AUTOMÁTICO
PSD,AC,2021,CANCELAMENTO AUTOMÁTICO
PSD,AC,2021,A PEDIDO DO ELEITOR
PSD,AC,2021,CANCELAMENTO AUTOMÁTICO
PODE,AC,2021,CANCELAMENTO AUTOMÁTICO
PODE,AC,2021,CANCELAMENTO AUTOMÁTICO
PODE,AC,2021,A PEDIDO DO ELEITOR
PODE,AC,2021,CANCELAMENTO AUTOMÁTICO
PODE,AC,2021,CANCELAMENTO AUTOMÁTICO
PODE,AC,2021,CANCELAMENTO AUTOMÁTICO
PSB,AC,2021,CANCELAMENTO AUTOMÁTICO
PSB,AC,2021,CANCELAMENTO AUTOMÁTICO
PSB,AC,2021,A PEDIDO DO ELEITOR
PSB,AC,2021,A PEDIDO DO ELEITOR
PSB,AC,2021,CANCELAMENTO AUTOMÁTICO
PSB,AC,2021,CANCELAMENTO AUTOMÁTICO
PSB,AC,2021,CANCELAMENTO AUTOMÁTICO
PP,AC,2021,A PEDIDO DO ELEITOR
PP,AC,2021,CANCELAMENTO AUTOMÁTICO
PP,AC,2021,CANCELAMENTO AUTOMÁTICO
PP,AC,2021,CANCELAMENTO AUTOMÁTICO
PP,AC,2021,CANCELAMENTO AUTOMÁTICO
PMN,AC,2021,A PEDIDO DO ELEITOR
PSC,AC,2021,CANCELAMENTO AUTOMÁTICO
PSC,AC,2021,CANCELAMENTO AUTOMÁTICO
PSC,AC,2021,A PEDIDO DO ELEITOR
PSC,AC,2021,A PEDIDO DO ELEITOR
PSC,AC,2021,A PEDIDO DO ELEITOR
PSC,AC,2021,CANCELAMENTO AUTOMÁTICO
PSC,AC,2021,CANCELAMENTO AUTOMÁTICO
PSL,AC,2021,CANCELAMENTO AUTOMÁTICO
PSL,AC,2021,CANCELAMENTO AUTOMÁTICO
PSL,AC,2021,A PEDIDO DO ELEITOR
PSL,AC,2021,CANCELAMENTO AUTOMÁTICO
PSOL,AC,2021,CANCELAMENTO AUTOMÁTICO
PSOL,AC,2021,CANCELAMENTO AUTOMÁTICO
PSDB,AC,2021,A PEDIDO DO ELEITOR
PSDB,AC,2021,CANCELAMENTO AUTOMÁTICO
PSDB,AC,2021,A PEDIDO DO ELEITOR
PSDB,AC,2021,CANCELAMENTO AUTOMÁTICO
PSDB,AC,2021,CANCELAMENTO AUTOMÁTICO
PSDB,AC,2021,CANCELAMENTO AUTOMÁTICO
PSDB,AC,2021,CANCELAMENTO AUTOMÁTICO
PSDB,AC,2021,A PEDIDO DO ELEITOR
PSDB,AC,2021,A PEDIDO DO ELEITOR
PSDB,AC,2021,CANCELAMENTO AUTOMÁTICO
PSDB,AC,2021,CANCELAMENTO AUTOMÁTICO
REDE,AC,2021,CANCELAMENTO AUTOMÁTICO
PV,AC,2021,A PEDIDO DO ELEITOR
PV,AC,2021,A PEDIDO DO ELEITOR
PTB,AC,2021,CANCELAMENTO AUTOMÁTICO
REPUBLICANOS,AC,2021,A PEDIDO DO ELEITOR
REPUBLICANOS,AC,2021,JUDICIAL
REPUBLICANOS,AC,2021,CANCELAMENTO AUTOMÁTICO
REPUBLICANOS,AC,2021,A PEDIDO DO ELEITOR
REPUBLICANOS,AC,2021,CANCELAMENTO AUTOMÁTICO
SOLIDARIEDADE,AC,2021,CANCELAMENTO AUTOMÁTICO
SOLIDARIEDADE,AC,2021,CANCELAMENTO AUTOMÁTICO
SOLIDARIEDADE,AC,2021,CANCELAMENTO AUTOMÁTICO
SOLIDARIEDADE,AC,2021,CANCELAMENTO AUTOMÁTICO
SOLIDARIEDADE,AC,2021,A PEDIDO DO ELEITOR
SOLIDARIEDADE,AC,2021,A PEDIDO DO ELEITOR
SOLIDARIEDADE,AC,2021,A PEDIDO DO ELEITOR
PTC,AC,2021,CANCELAMENTO AUTOMÁTICO
PT,AC,2021,A PEDIDO DO ELEITOR
PT,AC,2021,A PEDIDO DO ELEITOR
PT,AC,2021,CANCELAMENTO AUTOMÁTICO
PT,AC,2021,A PEDIDO DO ELEITOR
PT,AC,2021,A PEDIDO DO ELEITOR
PT,AC,2021,A PEDIDO DO ELEITOR
PT,AC,2021,A PEDIDO DO ELEITOR
PT,AC,2021,CANCELAMENTO AUTOMÁTICO
PT,AC,2021,A PEDIDO DO ELEITOR
PT,AC,2021,A PEDIDO DO ELEITOR
PT,AC,2021,A PEDIDO DO ELEITOR
PT,AC,2021,A PEDIDO DO ELEITOR
PT,AC,2021,A PEDIDO DO ELEITOR
PT,AC,2021,A PEDIDO DO ELEITOR
