sigla_partido,sigla_uf,ano
CIDADANIA,AC,2021
CIDADANIA,AC,2021
PDT,AC,2021
PDT,AC,2021
PDT,AC,2021
PDT,AC,2021
PDT,AC,2021
PDT,AC,2021
PDT,AC,2021
PDT,AC,2021
PDT,AC,2021
PDT,AC,2021
PDT,AC,2021
PDT,AC,2021
PDT,AC,2021
PDT,AC,2021
PDT,AC,2021
PDT,AC,2021
PDT,AC,2021
PDT,AC,2021
PDT,AC,2021
PDT,AC,2021
PODE,AC,2021
MDB,AC,2021
MDB,AC,2038
MDB,AC,2066
MDB,AC,2057
MDB,AC,2021
MDB,AC,2021
PSB,AC,2021
PSB,AC,2021
PSB,AC,2021
PSB,AC,2021
PSB,AC,2021
PSB,AC,2021
PP,AC,2021
PP,AC,2021
PP,AC,2021
PP,AC,2021
PP,AC,2021
PP,AC,2021
PP,AC,2021
PP,AC,2021
PP,AC,2021
PP,AC,2021
PP,AC,2021
PP,AC,2021
PP,AC,2021
PP,AC,2021
PP,AC,2021
PP,AC,2021
PP,AC,2021
PP,AC,2021
PP,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
PSOL,AC,2021
