UF;MUNICIPIO;TIPO VEICULO;QUANTIDADE
AC;ACRELANDIA;AUTOMOVEL;1662
AC;ACRELANDIA;BONDE;0
AC;ACRELANDIA;CAMINHAO;462
AC;ACRELANDIA;CAMINHAO TRATOR;39
AC;ACRELANDIA;CAMINHONETE;834
AC;ACRELANDIA;CAMIONETA;61
AC;ACRELANDIA;CHASSI PLATAF;0
AC;ACRELANDIA;CICLOMOTOR;4
AC;ACRELANDIA;MICRO-ONIBUS;10
AC;ACRELANDIA;MOTOCICLETA;3676
AC;ACRELANDIA;MOTONETA;445
AC;ACRELANDIA;ONIBUS;43
AC;ACRELANDIA;QUADRICICLO;0
AC;ACRELANDIA;REBOQUE;71
AC;ACRELANDIA;SEMI-REBOQUE;61
AC;ACRELANDIA;SIDE-CAR;0
AC;ACRELANDIA;OUTROS;26
AC;ACRELANDIA;TRATOR ESTEI;0
AC;ACRELANDIA;TRATOR RODAS;0
AC;ACRELANDIA;TRICICLO;2
AC;ACRELANDIA;UTILITARIO;19
AC;ASSIS BRASIL;AUTOMOVEL;386
AC;ASSIS BRASIL;BONDE;0
AC;ASSIS BRASIL;CAMINHAO;29
AC;ASSIS BRASIL;CAMINHAO TRATOR;0
AC;ASSIS BRASIL;CAMINHONETE;187
AC;ASSIS BRASIL;CAMIONETA;23
AC;ASSIS BRASIL;CHASSI PLATAF;0
AC;ASSIS BRASIL;CICLOMOTOR;4
AC;ASSIS BRASIL;MICRO-ONIBUS;4
AC;ASSIS BRASIL;MOTOCICLETA;1355
AC;ASSIS BRASIL;MOTONETA;141
AC;ASSIS BRASIL;ONIBUS;4
AC;ASSIS BRASIL;QUADRICICLO;0
AC;ASSIS BRASIL;REBOQUE;8
AC;ASSIS BRASIL;SEMI-REBOQUE;0
AC;ASSIS BRASIL;SIDE-CAR;0
AC;ASSIS BRASIL;OUTROS;11
AC;ASSIS BRASIL;TRATOR ESTEI;0
AC;ASSIS BRASIL;TRATOR RODAS;0
AC;ASSIS BRASIL;TRICICLO;0
AC;ASSIS BRASIL;UTILITARIO;3
AC;BRASILEIA;AUTOMOVEL;2779
AC;BRASILEIA;BONDE;0
AC;BRASILEIA;CAMINHAO;329
AC;BRASILEIA;CAMINHAO TRATOR;247
AC;BRASILEIA;CAMINHONETE;1570
AC;BRASILEIA;CAMIONETA;122
AC;BRASILEIA;CHASSI PLATAF;0
AC;BRASILEIA;CICLOMOTOR;7
AC;BRASILEIA;MICRO-ONIBUS;7
AC;BRASILEIA;MOTOCICLETA;5102
AC;BRASILEIA;MOTONETA;1047
AC;BRASILEIA;ONIBUS;22
AC;BRASILEIA;QUADRICICLO;0
AC;BRASILEIA;REBOQUE;115
AC;BRASILEIA;SEMI-REBOQUE;356
AC;BRASILEIA;SIDE-CAR;0
AC;BRASILEIA;OUTROS;46
AC;BRASILEIA;TRATOR ESTEI;0
AC;BRASILEIA;TRATOR RODAS;0
AC;BRASILEIA;TRICICLO;3
AC;BRASILEIA;UTILITARIO;42
AC;BUJARI;AUTOMOVEL;751
AC;BUJARI;BONDE;0
