ano,id_uf,sexo,grupo_idade,populacao
2012,11,Total,Total,1628000
2012,11,Total,0 a 4 anos,128000
2012,11,Total,5 a 13 anos,274000
2012,11,Total,5 a 9 anos,147000
2012,11,Total,10 a 13 anos,128000
2012,11,Total,14 a 17 anos,131000
2012,11,Total,14 a 15 anos,65000
2012,11,Total,16 a 17 anos,66000
2012,11,Total,18 a 19 anos,67000
2012,11,Total,20 a 24 anos,135000
2012,11,Total,25 a 29 anos,132000
2012,11,Total,30 a 39 anos,265000
2012,11,Total,40 a 49 anos,213000
2012,11,Total,50 a 59 anos,139000
2012,11,Total,60 anos ou mais,142000
2012,11,Total,60 a 64 anos,53000
2012,11,Total,65 anos ou mais,89000
2012,11,Homens,Total,814000
2012,11,Homens,0 a 4 anos,61000
2012,11,Homens,5 a 13 anos,142000
2012,11,Homens,5 a 9 anos,72000
2012,11,Homens,10 a 13 anos,70000
2012,11,Homens,14 a 17 anos,65000
2012,11,Homens,14 a 15 anos,32000
2012,11,Homens,16 a 17 anos,33000
2012,11,Homens,18 a 19 anos,35000
2012,11,Homens,20 a 24 anos,68000
2012,11,Homens,25 a 29 anos,61000
2012,11,Homens,30 a 39 anos,131000
2012,11,Homens,40 a 49 anos,107000
2012,11,Homens,50 a 59 anos,71000
2012,11,Homens,60 anos ou mais,73000
2012,11,Homens,60 a 64 anos,28000
2012,11,Homens,65 anos ou mais,45000
2012,11,Mulheres,Total,814000
2012,11,Mulheres,0 a 4 anos,67000
2012,11,Mulheres,5 a 13 anos,133000
2012,11,Mulheres,5 a 9 anos,75000
2012,11,Mulheres,10 a 13 anos,58000
2012,11,Mulheres,14 a 17 anos,66000
2012,11,Mulheres,14 a 15 anos,33000
2012,11,Mulheres,16 a 17 anos,33000
2012,11,Mulheres,18 a 19 anos,32000
2012,11,Mulheres,20 a 24 anos,68000
2012,11,Mulheres,25 a 29 anos,72000
2012,11,Mulheres,30 a 39 anos,135000
2012,11,Mulheres,40 a 49 anos,106000
2012,11,Mulheres,50 a 59 anos,67000
2012,11,Mulheres,60 anos ou mais,69000
2012,11,Mulheres,60 a 64 anos,25000
2012,11,Mulheres,65 anos ou mais,43000
2013,11,Total,Total,1648000
2013,11,Total,0 a 4 anos,120000
2013,11,Total,5 a 13 anos,263000
2013,11,Total,5 a 9 anos,137000
2013,11,Total,10 a 13 anos,127000
2013,11,Total,14 a 17 anos,135000
2013,11,Total,14 a 15 anos,67000
2013,11,Total,16 a 17 anos,68000
2013,11,Total,18 a 19 anos,66000
2013,11,Total,20 a 24 anos,137000
2013,11,Total,25 a 29 anos,144000
2013,11,Total,30 a 39 anos,271000
2013,11,Total,40 a 49 anos,221000
2013,11,Total,50 a 59 anos,159000
2013,11,Total,60 anos ou mais,132000
2013,11,Total,60 a 64 anos,41000
2013,11,Total,65 anos ou mais,91000
2013,11,Homens,Total,841000
2013,11,Homens,0 a 4 anos,62000
2013,11,Homens,5 a 13 anos,143000
2013,11,Homens,5 a 9 anos,75000
2013,11,Homens,10 a 13 anos,69000
2013,11,Homens,14 a 17 anos,69000
2013,11,Homens,14 a 15 anos,36000
2013,11,Homens,16 a 17 anos,33000
2013,11,Homens,18 a 19 anos,32000
2013,11,Homens,20 a 24 anos,64000
2013,11,Homens,25 a 29 anos,79000
2013,11,Homens,30 a 39 anos,122000
2013,11,Homens,40 a 49 anos,116000
2013,11,Homens,50 a 59 anos,87000
2013,11,Homens,60 anos ou mais,66000
2013,11,Homens,60 a 64 anos,21000
2013,11,Homens,65 anos ou mais,45000
2013,11,Mulheres,Total,807000
2013,11,Mulheres,0 a 4 anos,59000
2013,11,Mulheres,5 a 13 anos,120000
2013,11,Mulheres,5 a 9 anos,62000
2013,11,Mulheres,10 a 13 anos,58000
2013,11,Mulheres,14 a 17 anos,66000
2013,11,Mulheres,14 a 15 anos,31000
2013,11,Mulheres,16 a 17 anos,35000
2013,11,Mulheres,18 a 19 anos,34000
2013,11,Mulheres,20 a 24 anos,73000
2013,11,Mulheres,25 a 29 anos,65000
2013,11,Mulheres,30 a 39 anos,149000
2013,11,Mulheres,40 a 49 anos,104000
2013,11,Mulheres,50 a 59 anos,71000
2013,11,Mulheres,60 anos ou mais,66000
2013,11,Mulheres,60 a 64 anos,20000
2013,11,Mulheres,65 anos ou mais,46000
2014,11,Total,Total,1668000
2014,11,Total,0 a 4 anos,118000
2014,11,Total,5 a 13 anos,246000
2014,11,Total,5 a 9 anos,132000
2014,11,Total,10 a 13 anos,115000
2014,11,Total,14 a 17 anos,137000
2014,11,Total,14 a 15 anos,66000
2014,11,Total,16 a 17 anos,71000
2014,11,Total,18 a 19 anos,73000
2014,11,Total,20 a 24 anos,141000
2014,11,Total,25 a 29 anos,132000
2014,11,Total,30 a 39 anos,261000
2014,11,Total,40 a 49 anos,241000
2014,11,Total,50 a 59 anos,158000
2014,11,Total,60 anos ou mais,162000
2014,11,Total,60 a 64 anos,61000
2014,11,Total,65 anos ou mais,101000
2014,11,Homens,Total,836000
2014,11,Homens,0 a 4 anos,65000
2014,11,Homens,5 a 13 anos,123000
2014,11,Homens,5 a 9 anos,68000
2014,11,Homens,10 a 13 anos,55000
2014,11,Homens,14 a 17 anos,70000
2014,11,Homens,14 a 15 anos,36000
2014,11,Homens,16 a 17 anos,34000
2014,11,Homens,18 a 19 anos,39000
2014,11,Homens,20 a 24 anos,71000
2014,11,Homens,25 a 29 anos,62000
2014,11,Homens,30 a 39 anos,127000
2014,11,Homens,40 a 49 anos,117000
2014,11,Homens,50 a 59 anos,80000
2014,11,Homens,60 anos ou mais,83000
2014,11,Homens,60 a 64 anos,32000
2014,11,Homens,65 anos ou mais,51000
2014,11,Mulheres,Total,831000
2014,11,Mulheres,0 a 4 anos,53000
2014,11,Mulheres,5 a 13 anos,123000
2014,11,Mulheres,5 a 9 anos,63000
2014,11,Mulheres,10 a 13 anos,60000
2014,11,Mulheres,14 a 17 anos,67000
2014,11,Mulheres,14 a 15 anos,30000
2014,11,Mulheres,16 a 17 anos,38000
2014,11,Mulheres,18 a 19 anos,34000
2014,11,Mulheres,20 a 24 anos,69000
2014,11,Mulheres,25 a 29 anos,70000
2014,11,Mulheres,30 a 39 anos,134000
2014,11,Mulheres,40 a 49 anos,124000
2014,11,Mulheres,50 a 59 anos,77000
