"uf","id_municipio","Nome"
"Rondônia","1100015","Alta Floresta D'Oeste"
"Rondônia","1100023","Ariquemes"
"Rondônia","1100031","Cabixi"
"Rondônia","1100049","Cacoal"
"Rondônia","1100056","Cerejeiras"
"Rondônia","1100064","Colorado do Oeste"
"Rondônia","1100072","Corumbiara"
"Rondônia","1100080","Costa Marques"
"Rondônia","1100098","Espigão D'Oeste"
"Rondônia","1100106","Guajará-Mirim"
"Rondônia","1100114","Jaru"
"Rondônia","1100122","Ji-Paraná"
"Rondônia","1100130","Machadinho D'Oeste"
"Rondônia","1100148","Nova Brasilândia D'Oeste"
"Rondônia","1100155","Ouro Preto do Oeste"
"Rondônia","1100189","Pimenta Bueno"
"Rondônia","1100205","Porto Velho"
"Rondônia","1100254","Presidente Médici"
"Rondônia","1100262","Rio Crespo"
"Rondônia","1100288","Rolim de Moura"
"Rondônia","1100296","Santa Luzia D'Oeste"
"Rondônia","1100304","Vilhena"
"Rondônia","1100320","São Miguel do Guaporé"
"Rondônia","1100338","Nova Mamoré"
"Rondônia","1100346","Alvorada D'Oeste"
"Rondônia","1100379","Alto Alegre dos Parecis"
"Rondônia","1100403","Alto Paraíso"
"Rondônia","1100452","Buritis"
"Rondônia","1100502","Novo Horizonte do Oeste"
"Rondônia","1100601","Cacaulândia"
"Rondônia","1100700","Campo Novo de Rondônia"
"Rondônia","1100809","Candeias do Jamari"
"Rondônia","1100908","Castanheiras"
"Rondônia","1100924","Chupinguaia"
"Rondônia","1100940","Cujubim"
"Rondônia","1101005","Governador Jorge Teixeira"
"Rondônia","1101104","Itapuã do Oeste"
"Rondônia","1101203","Ministro Andreazza"
"Rondônia","1101302","Mirante da Serra"
"Rondônia","1101401","Monte Negro"
"Rondônia","1101435","Nova União"
"Rondônia","1101450","Parecis"
"Rondônia","1101468","Pimenteiras do Oeste"
"Rondônia","1101476","Primavera de Rondônia"
"Rondônia","1101484","São Felipe D'Oeste"
"Rondônia","1101492","São Francisco do Guaporé"
"Rondônia","1101500","Seringueiras"
"Rondônia","1101559","Teixeirópolis"
"Rondônia","1101609","Theobroma"
"Rondônia","1101708","Urupá"
"Rondônia","1101757","Vale do Anari"
"Rondônia","1101807","Vale do Paraíso"
"Acre","1200013","Acrelândia"
"Acre","1200054","Assis Brasil"
"Acre","1200104","Brasiléia"
"Acre","1200138","Bujari"
"Acre","1200179","Capixaba"
"Acre","1200203","Cruzeiro do Sul"
"Acre","1200252","Epitaciolândia"
"Acre","1200302","Feijó"
"Acre","1200328","Jordão"
"Acre","1200336","Mâncio Lima"
"Acre","1200344","Manoel Urbano"
"Acre","1200351","Marechal Thaumaturgo"
"Acre","1200385","Plácido de Castro"
"Acre","1200393","Porto Walter"
"Acre","1200401","Rio Branco"
"Acre","1200427","Rodrigues Alves"
"Acre","1200435","Santa Rosa do Purus"
"Acre","1200450","Senador Guiomard"
