UF,MUNICIPIO,REDE,2005,2007,2009,2011,2013,2015,2017,2019
RO,Alta Floresta D'Oeste,Estadual,3.5,3.3,3.2,3.3,3.9,4.2,5.1,5.4
RO,Alta Floresta D'Oeste,Municipal,3.2,-,-,-,-,-,4.3,4.6
RO,Alta Floresta D'Oeste,Pública,3.5,3.5,3.4,3.3,3.9,4.3,4.8,5.2
RO,Ariquemes,Estadual,3.6,3.1,3.6,3.9,4.3,4.3,5.0,5.1
RO,Ariquemes,Municipal,3.3,3.3,3.5,3.9,4.0,4.6,4.7,4.4
RO,Ariquemes,Pública,3.5,3.2,3.5,4.0,4.2,4.3,4.9,5.1
RO,Cabixi,Estadual,3.8,3.5,3.2,4.0,4.1,4.3,5.1,4.6
RO,Cabixi,Pública,3.8,3.5,3.2,4.0,4.1,4.3,5.1,4.6
RO,Cacoal,Estadual,3.5,3.2,3.6,3.9,4.4,4.6,5.1,5.4
RO,Cacoal,Municipal,3.5,3.9,3.4,4.7,4.2,4.5,4.5,4.3
RO,Cacoal,Pública,3.6,3.5,3.6,4.1,4.5,4.6,5.1,5.3
RO,Cerejeiras,Estadual,3.5,3.7,3.8,3.4,3.6,4.1,5.3,5.3
RO,Cerejeiras,Municipal,-,3.7,-,4.1,3.5,-,-,-
RO,Cerejeiras,Pública,3.6,3.7,3.7,3.6,3.6,4.0,5.3,5.3
RO,Colorado do Oeste,Estadual,3.8,4.1,3.7,3.5,3.6,4.6,5.1,5.2
RO,Colorado do Oeste,Municipal,-,-,-,-,-,-,-,-
RO,Colorado do Oeste,Pública,4.0,4.3,3.9,3.8,3.9,4.6,5.0,5.1
RO,Corumbiara,Estadual,3.3,3.3,4.3,4.1,4.7,4.5,4.6,5.0
RO,Corumbiara,Municipal,-,-,-,-,-,-,-,-
RO,Corumbiara,Pública,3.3,3.8,4.4,4.0,4.3,4.4,4.4,4.9
RO,Costa Marques,Estadual,3.3,3.5,2.9,3.6,2.8,-,5.3,5.1
RO,Costa Marques,Municipal,-,-,-,-,-,-,-,-
RO,Costa Marques,Pública,3.1,3.4,3.1,3.5,2.6,-,5.0,4.5
RO,Espigão D'Oeste,Estadual,3.8,3.6,4.4,4.4,5.0,4.8,5.4,5.6
RO,Espigão D'Oeste,Municipal,-,3.9,4.1,3.9,4.9,4.2,4.5,4.5
RO,Espigão D'Oeste,Pública,3.7,3.6,4.4,4.2,4.9,4.7,5.2,5.4
RO,Guajará-Mirim,Estadual,3.3,3.5,3.3,3.6,3.5,3.6,4.4,4.5
RO,Guajará-Mirim,Pública,3.3,3.5,3.3,3.6,3.5,3.6,4.4,4.5
RO,Jaru,Estadual,3.2,3.3,3.8,4.0,3.8,4.3,5.2,5.1
RO,Jaru,Municipal,2.4,3.3,3.6,3.7,3.0,-,-,-
RO,Jaru,Pública,2.9,3.4,3.9,4.0,3.7,4.3,5.2,5.1
RO,Ji-Paraná,Estadual,3.3,3.2,3.2,3.6,3.8,4.1,4.8,4.9
RO,Ji-Paraná,Municipal,-,-,-,-,-,-,-,-
RO,Ji-Paraná,Pública,3.4,3.3,3.3,3.7,3.9,4.1,4.8,4.9
RO,Machadinho D'Oeste,Estadual,3.4,2.9,4.1,3.3,3.2,3.3,4.9,4.5
RO,Machadinho D'Oeste,Municipal,2.2,3.5,3.1,3.5,4.2,-,-,-
RO,Machadinho D'Oeste,Pública,2.7,3.1,3.6,3.4,3.8,3.7,4.8,4.5
RO,Nova Brasilândia D'Oeste,Estadual,3.6,3.6,4.2,4.0,5.8,5.9,6.2,6.2
RO,Nova Brasilândia D'Oeste,Municipal,-,3.6,3.2,3.7,4.5,5.1,5.6,5.7
RO,Nova Brasilândia D'Oeste,Pública,3.5,3.6,3.8,4.1,5.1,5.5,6.0,6.1
RO,Ouro Preto do Oeste,Estadual,2.8,3.3,3.6,3.7,4.3,4.0,5.1,5.1
RO,Ouro Preto do Oeste,Municipal,2.6,3.5,3.6,3.7,3.9,-,-,-
RO,Ouro Preto do Oeste,Pública,2.7,3.3,3.5,3.7,4.2,4.1,5.0,5.1
RO,Pimenta Bueno,Estadual,3.4,3.5,3.8,4.0,4.0,4.3,4.8,5.0
RO,Pimenta Bueno,Municipal,-,-,-,-,-,-,5.0,-
RO,Pimenta Bueno,Pública,3.4,3.5,3.8,4.0,4.1,4.4,4.8,4.9
RO,Porto Velho,Estadual,3.1,3.2,3.3,3.1,3.2,3.7,4.5,4.4
RO,Porto Velho,Municipal,3.3,3.2,3.1,3.2,3.1,3.5,3.9,-
RO,Porto Velho,Pública,3.2,3.2,3.3,3.1,3.2,3.7,4.5,4.4
RO,Presidente Médici,Estadual,3.7,3.8,4.1,3.7,4.6,4.3,5.4,5.4
RO,Presidente Médici,Municipal,-,4.0,4.3,3.8,4.3,-,-,-
RO,Presidente Médici,Pública,3.6,3.8,4.2,3.8,4.6,4.4,5.4,5.4
RO,Rio Crespo,Estadual,3.3,3.1,2.9,2.7,3.7,-,4.6,4.5
RO,Rio Crespo,Municipal,-,-,-,-,-,-,-,-
RO,Rio Crespo,Pública,3.4,3.2,2.9,3.0,3.5,-,4.5,4.2
RO,Rolim de Moura,Estadual,3.2,3.1,3.4,3.1,3.9,4.4,5.4,5.4
RO,Rolim de Moura,Municipal,-,3.5,-,-,-,-,-,-
RO,Rolim de Moura,Pública,3.1,3.2,3.4,3.1,3.9,4.4,5.3,5.3
RO,Santa Luzia D'Oeste,Estadual,3.7,3.5,4.3,3.9,4.7,4.9,5.5,5.3
RO,Santa Luzia D'Oeste,Municipal,3.0,2.7,-,-,-,-,-,-
RO,Santa Luzia D'Oeste,Pública,3.4,3.3,4.2,3.9,4.6,4.8,5.5,5.3
RO,Vilhena,Estadual,3.4,3.4,3.5,4.1,4.1,4.3,4.9,5.0
RO,Vilhena,Municipal,3.9,3.5,4.1,4.6,4.5,4.5,5.5,4.6
RO,Vilhena,Pública,3.6,3.5,3.6,4.3,4.1,4.3,4.9,4.9
RO,São Miguel do Guaporé,Estadual,3.6,3.4,3.0,4.2,4.4,4.0,5.4,4.7
RO,São Miguel do Guaporé,Municipal,3.5,4.2,3.7,4.1,4.1,4.7,4.7,4.5
RO,São Miguel do Guaporé,Pública,3.7,3.9,3.4,4.1,4.2,4.2,5.3,4.6
RO,Nova Mamoré,Estadual,3.2,3.4,3.2,2.8,3.9,3.7,4.3,4.5
RO,Nova Mamoré,Municipal,-,-,-,3.6,3.6,-,-,-
RO,Nova Mamoré,Pública,2.8,3.0,3.1,3.1,3.9,3.6,4.0,4.5
RO,Alvorada D'Oeste,Estadual,3.4,3.4,3.9,3.6,4.0,3.9,5.2,5.1
RO,Alvorada D'Oeste,Municipal,-,3.6,3.5,3.7,3.4,-,4.1,4.1
RO,Alvorada D'Oeste,Pública,3.4,3.5,3.7,3.7,3.7,4.1,4.8,4.7
RO,Alto Alegre dos Parecis,Estadual,3.7,2.2,3.1,2.9,5.2,4.9,5.0,5.4
RO,Alto Alegre dos Parecis,Municipal,-,3.1,3.6,3.8,3.8,3.6,4.3,4.1
RO,Alto Alegre dos Parecis,Pública,3.5,2.6,3.5,3.6,4.1,3.9,4.4,4.5
RO,Alto Paraíso,Estadual,3.5,3.0,3.4,3.5,3.9,4.0,4.5,4.4
RO,Alto Paraíso,Municipal,2.6,2.8,3.1,3.8,4.1,4.2,-,-
RO,Alto Paraíso,Pública,3.0,2.9,3.2,3.7,3.9,4.1,4.3,4.4
RO,Buritis,Estadual,3.0,2.8,3.3,3.7,3.8,4.2,5.1,5.0
RO,Buritis,Municipal,-,-,-,-,-,-,-,-
RO,Buritis,Pública,3.0,3.0,3.4,3.7,3.8,4.1,4.9,5.0
RO,Novo Horizonte do Oeste,Estadual,3.0,3.6,3.4,3.4,4.4,4.8,6.0,5.1
RO,Novo Horizonte do Oeste,Municipal,-,-,-,-,4.1,-,5.0,-
RO,Novo Horizonte do Oeste,Pública,3.1,3.7,3.5,3.5,4.3,4.9,5.8,5.1
RO,Cacaulândia,Estadual,3.5,4.0,3.8,3.7,4.2,3.4,4.3,4.8
RO,Cacaulândia,Municipal,-,-,-,-,-,-,-,-
RO,Cacaulândia,Pública,3.4,3.7,3.9,3.9,3.8,3.7,4.0,4.4
RO,Campo Novo de Rondônia,Estadual,-,3.5,3.7,3.8,3.8,4.7,4.8,4.5
RO,Campo Novo de Rondônia,Municipal,2.7,3.1,3.5,3.7,3.9,4.3,-,-
RO,Campo Novo de Rondônia,Pública,2.8,3.1,3.6,3.7,3.8,4.4,4.7,4.4
RO,Candeias do Jamari,Estadual,2.9,3.1,2.5,3.1,3.4,3.3,4.2,4.2
RO,Candeias do Jamari,Municipal,3.1,1.8,-,2.7,1.8,3.3,-,-
RO,Candeias do Jamari,Pública,2.9,2.9,2.5,3.0,3.1,3.2,4.1,3.8
RO,Castanheiras,Estadual,3.4,4.1,3.5,3.7,-,-,4.4,4.8
RO,Castanheiras,Pública,3.8,3.8,3.6,3.7,-,-,3.8,4.6
RO,Chupinguaia,Estadual,3.1,3.1,3.7,3.8,3.7,4.3,4.3,-
RO,Chupinguaia,Municipal,-,-,-,-,-,-,-,-
RO,Chupinguaia,Pública,3.6,3.3,3.9,3.9,3.7,4.3,4.3,-
RO,Cujubim,Estadual,3.4,3.2,3.3,4.0,3.5,4.2,4.9,4.6
RO,Cujubim,Municipal,2.4,3.0,3.4,3.0,3.1,3.2,3.9,-
RO,Cujubim,Pública,2.7,2.9,3.3,3.3,3.2,3.6,4.2,4.1
RO,Governador Jorge Teixeira,Estadual,2.7,2.8,3.4,3.6,3.2,3.3,5.0,4.8
RO,Governador Jorge Teixeira,Municipal,-,-,-,-,-,-,-,-
RO,Governador Jorge Teixeira,Pública,2.8,3.0,3.5,3.4,3.3,3.4,4.8,4.8
RO,Itapuã do Oeste,Estadual,3.0,3.1,3.4,3.4,3.5,3.7,4.6,3.9
RO,Itapuã do Oeste,Pública,2.7,3.1,3.3,3.3,3.4,3.6,4.6,3.9
RO,Ministro Andreazza,Estadual,3.6,2.4,3.1,4.1,5.1,5.0,4.9,5.5
RO,Ministro Andreazza,Municipal,3.5,3.2,3.8,4.0,4.6,4.9,5.5,5.2
RO,Ministro Andreazza,Pública,3.7,3.0,3.6,3.9,4.8,5.0,5.2,5.4
RO,Mirante da Serra,Estadual,3.1,3.3,3.5,3.5,4.5,3.6,4.7,4.9
RO,Mirante da Serra,Municipal,-,-,-,-,-,-,-,-
RO,Mirante da Serra,Pública,3.1,3.4,3.5,3.7,4.5,3.8,4.7,4.9
RO,Monte Negro,Estadual,3.7,3.8,3.9,3.3,4.3,4.0,5.0,4.4
RO,Monte Negro,Municipal,3.2,3.4,3.6,4.0,4.3,-,-,-
RO,Monte Negro,Pública,3.4,3.7,3.8,3.8,4.2,4.1,4.9,4.4
RO,Nova União,Estadual,3.7,4.2,2.9,4.0,-,-,4.6,4.6
RO,Nova União,Municipal,2.5,2.9,3.5,4.0,3.7,3.5,5.1,-
RO,Nova União,Pública,2.8,3.3,3.4,4.0,3.8,3.6,5.0,4.3
RO,Parecis,Estadual,3.4,3.1,3.4,3.2,3.8,4.1,5.9,6.1
RO,Parecis,Municipal,-,3.3,-,3.8,3.6,-,4.2,4.3
RO,Parecis,Pública,3.5,3.3,3.5,3.5,3.7,4.4,4.7,5.1
RO,Pimenteiras do Oeste,Estadual,3.2,3.8,3.4,3.3,3.7,4.4,5.0,4.4
RO,Pimenteiras do Oeste,Pública,3.2,3.8,3.4,3.3,3.7,4.4,5.0,4.4
RO,Primavera de Rondônia,Estadual,3.4,3.5,4.0,4.2,3.8,5.0,5.2,5.3
