UF,MUNICIPIO,REDE,2005,2007,2009,2011,2013,2015,2017,2019
"RO","Alta Floresta D'Oeste","Estadual",3.5,3.9,4.3,4.2,5.3,5.8,6.2,5.8
"RO","Alta Floresta D'Oeste","Municipal",-,-,-,-,-,5.0,5.1,4.7
"RO","Alta Floresta D'Oeste","Pública",3.7,4.0,4.5,4.3,5.4,5.8,6.2,5.7
"RO","Ariquemes","Estadual",4.0,4.3,4.9,4.9,5.2,5.6,6.0,5.3
"RO","Ariquemes","Municipal",3.5,3.7,4.2,4.4,4.8,5.0,5.4,5.1
"RO","Ariquemes","Pública",3.7,3.9,4.4,4.6,4.9,5.2,5.5,5.2
"RO","Cabixi","Estadual",4.1,3.6,4.5,5.3,-,6.3,-,-
"RO","Cabixi","Municipal",3.4,3.9,4.6,5.1,5.6,5.3,6.1,5.1
"RO","Cabixi","Pública",3.7,3.8,4.6,5.2,5.6,5.5,6.1,5.1
"RO","Cacoal","Estadual",3.8,3.8,4.3,5.0,5.7,6.0,6.5,6.0
"RO","Cacoal","Municipal",4.1,4.3,4.5,5.2,5.8,5.8,6.1,5.6
"RO","Cacoal","Pública",4.0,4.0,4.4,5.2,5.8,5.9,6.3,5.8
"RO","Cerejeiras","Estadual",4.1,4.7,5.1,5.5,6.6,6.5,7.4,7.2
"RO","Cerejeiras","Municipal",3.9,4.1,4.7,5.1,5.3,5.4,6.0,6.1
"RO","Cerejeiras","Pública",4.0,4.5,4.9,5.4,6.2,5.9,6.4,6.4
"RO","Colorado do Oeste","Estadual",4.2,4.5,5.2,5.4,6.1,6.2,-,-
"RO","Colorado do Oeste","Municipal",-,-,-,4.8,-,-,6.4,6.3
"RO","Colorado do Oeste","Pública",4.1,4.4,5.2,5.4,6.2,6.3,6.4,6.3
"RO","Corumbiara","Estadual",3.5,4.1,4.1,4.5,5.9,5.5,-,-
"RO","Corumbiara","Municipal",3.5,4.1,-,4.3,5.0,5.0,5.7,6.0
"RO","Corumbiara","Pública",3.5,4.0,4.0,4.4,5.4,5.2,5.7,6.0
"RO","Costa Marques","Estadual",3.5,3.0,4.1,4.4,5.2,4.8,4.6,-
"RO","Costa Marques","Municipal",2.6,3.8,3.7,4.0,5.4,4.5,5.0,4.9
"RO","Costa Marques","Pública",3.1,3.2,4.1,4.2,5.4,4.9,4.8,4.9
"RO","Espigão D'Oeste","Estadual",3.8,4.0,4.9,5.1,6.0,6.1,6.2,5.8
"RO","Espigão D'Oeste","Municipal",3.9,4.3,4.5,4.8,5.3,5.8,5.9,5.9
"RO","Espigão D'Oeste","Pública",3.9,4.1,4.8,5.0,5.8,6.0,6.1,5.9
"RO","Guajará-Mirim","Estadual",3.3,3.7,4.4,4.6,4.4,4.7,5.0,5.0
"RO","Guajará-Mirim","Municipal",3.1,3.8,4.2,4.5,4.8,5.0,4.9,5.0
"RO","Guajará-Mirim","Pública",3.3,3.8,4.3,4.5,4.7,4.9,4.9,5.0
"RO","Jaru","Estadual",3.6,4.3,4.5,4.8,5.4,5.9,6.5,5.6
"RO","Jaru","Municipal",3.1,3.7,3.9,4.2,4.4,5.0,5.7,5.9
"RO","Jaru","Pública",3.3,4.0,4.3,4.6,5.1,5.6,6.1,5.7
"RO","Ji-Paraná","Estadual",3.8,3.9,4.4,4.7,5.5,5.8,5.9,5.6
"RO","Ji-Paraná","Municipal",4.1,4.2,4.8,5.8,6.3,6.6,7.0,6.3
"RO","Ji-Paraná","Pública",3.8,4.0,4.5,4.9,5.7,6.0,6.2,5.8
"RO","Machadinho D'Oeste","Estadual",4.2,4.1,4.7,4.6,5.4,5.9,5.7,-
"RO","Machadinho D'Oeste","Municipal",2.5,3.6,3.9,4.4,4.6,4.7,4.9,5.0
"RO","Machadinho D'Oeste","Pública",2.9,3.7,4.3,4.5,5.0,5.2,5.2,5.0
"RO","Nova Brasilândia D'Oeste","Estadual",3.7,4.0,4.7,5.9,7.1,7.4,7.9,7.4
"RO","Nova Brasilândia D'Oeste","Municipal",3.9,4.2,4.1,5.2,5.7,5.7,5.8,6.8
"RO","Nova Brasilândia D'Oeste","Pública",3.6,4.0,4.6,5.5,6.6,6.6,7.2,6.9
"RO","Ouro Preto do Oeste","Estadual",3.6,4.2,4.4,4.8,6.0,6.3,4.8,2.8
"RO","Ouro Preto do Oeste","Municipal",3.3,3.2,3.8,4.5,5.2,5.4,5.9,5.6
"RO","Ouro Preto do Oeste","Pública",3.5,3.9,4.2,4.6,5.5,5.7,5.8,5.5
"RO","Pimenta Bueno","Estadual",4.1,4.4,5.0,5.6,5.8,5.7,6.4,5.5
"RO","Pimenta Bueno","Municipal",3.9,3.9,4.9,5.7,6.1,6.0,6.1,5.9
"RO","Pimenta Bueno","Pública",4.0,4.2,4.9,5.6,5.9,5.9,6.2,5.8
"RO","Porto Velho","Estadual",3.6,3.9,4.2,4.3,4.8,5.1,5.7,5.5
"RO","Porto Velho","Municipal",3.5,3.8,4.1,4.2,4.4,4.8,5.1,5.3
"RO","Porto Velho","Pública",3.6,3.9,4.2,4.3,4.6,4.9,5.3,5.4
"RO","Presidente Médici","Estadual",3.9,4.4,4.5,5.4,6.2,6.3,6.5,6.1
"RO","Presidente Médici","Municipal",3.3,4.0,4.7,4.4,5.1,5.2,6.1,5.6
"RO","Presidente Médici","Pública",3.7,4.3,4.6,5.1,5.9,6.0,6.3,5.8
"RO","Rio Crespo","Estadual",-,3.6,4.4,3.4,5.1,5.1,6.1,-
"RO","Rio Crespo","Municipal",3.1,2.8,3.6,3.3,4.3,4.6,4.7,4.0
"RO","Rio Crespo","Pública",3.2,3.0,3.9,3.4,4.7,4.9,5.1,4.0
"RO","Rolim de Moura","Estadual",4.1,4.0,4.6,4.9,5.6,6.0,6.9,6.4
"RO","Rolim de Moura","Municipal",3.7,4.0,4.1,4.5,4.8,-,5.7,5.6
"RO","Rolim de Moura","Pública",4.0,4.0,4.5,4.8,5.5,5.6,6.4,5.9
"RO","Santa Luzia D'Oeste","Estadual",3.9,4.1,4.5,4.5,5.9,-,-,-
"RO","Santa Luzia D'Oeste","Municipal",-,4.0,-,4.1,5.2,6.1,6.8,6.3
"RO","Santa Luzia D'Oeste","Pública",3.7,4.1,4.4,4.8,5.7,6.1,6.8,6.3
"RO","Vilhena","Estadual",4.2,4.5,4.9,5.3,6.3,6.3,6.7,6.1
"RO","Vilhena","Municipal",3.8,3.9,4.4,5.0,5.2,5.2,5.7,5.6
"RO","Vilhena","Pública",4.0,4.2,4.6,5.1,5.7,5.6,5.9,5.6
"RO","São Miguel do Guaporé","Estadual",3.9,3.9,4.4,4.7,5.9,5.6,6.1,-
"RO","São Miguel do Guaporé","Municipal",3.8,4.0,4.0,4.4,4.5,4.2,5.6,5.1
"RO","São Miguel do Guaporé","Pública",3.7,4.0,4.3,4.6,5.3,5.0,5.7,5.1
"RO","Nova Mamoré","Estadual",3.7,3.6,4.2,3.9,5.0,5.0,6.0,3.3
"RO","Nova Mamoré","Municipal",3.1,3.4,3.9,3.9,4.9,4.5,4.6,4.8
"RO","Nova Mamoré","Pública",3.2,3.4,4.0,3.9,5.0,4.8,5.2,4.9
"RO","Alvorada D'Oeste","Estadual",4.2,4.3,4.6,5.3,5.6,5.8,6.2,5.9
"RO","Alvorada D'Oeste","Municipal",-,3.2,3.7,4.4,4.9,5.5,5.6,5.1
"RO","Alvorada D'Oeste","Pública",3.9,3.9,4.1,4.9,5.2,5.6,5.8,5.3
"RO","Alto Alegre dos Parecis","Estadual",3.7,3.8,4.5,-,5.8,5.9,6.5,6.2
"RO","Alto Alegre dos Parecis","Municipal",3.6,3.9,3.9,4.4,5.0,5.7,5.7,5.2
"RO","Alto Alegre dos Parecis","Pública",3.6,3.7,4.1,4.3,5.1,5.8,5.8,5.4
"RO","Alto Paraíso","Estadual",3.2,2.9,4.6,4.8,4.9,5.4,5.7,6.1
"RO","Alto Paraíso","Municipal",3.4,3.8,4.1,4.6,4.8,4.8,5.8,4.5
"RO","Alto Paraíso","Pública",3.2,3.6,4.3,4.6,4.9,4.9,5.7,4.9
"RO","Buritis","Estadual",3.8,3.6,4.4,5.1,6.3,6.3,-,-
"RO","Buritis","Municipal",3.1,3.9,4.2,4.7,5.4,5.3,5.6,5.5
"RO","Buritis","Pública",3.3,3.8,4.3,4.8,5.6,5.5,5.6,5.5
"RO","Novo Horizonte do Oeste","Estadual",3.2,3.9,4.2,4.2,5.4,6.1,6.5,-
"RO","Novo Horizonte do Oeste","Municipal",-,3.8,4.2,4.3,4.7,5.6,5.5,6.6
"RO","Novo Horizonte do Oeste","Pública",3.4,4.0,4.2,4.3,5.0,5.8,5.8,6.6
"RO","Cacaulândia","Municipal",-,3.5,4.2,4.8,5.1,5.7,5.8,5.1
"RO","Cacaulândia","Pública",-,3.5,4.2,4.8,5.1,5.7,5.8,5.1
"RO","Campo Novo de Rondônia","Estadual",3.5,3.7,4.2,4.3,5.2,5.9,-,-
"RO","Campo Novo de Rondônia","Municipal",3.0,3.3,3.9,4.2,4.3,4.2,5.3,5.3
"RO","Campo Novo de Rondônia","Pública",3.1,3.3,3.9,4.2,4.6,4.6,5.3,5.3
"RO","Candeias do Jamari","Estadual",3.1,2.9,3.4,3.9,4.2,4.6,5.3,5.7
"RO","Candeias do Jamari","Municipal",3.1,3.6,3.3,3.3,3.7,4.0,4.1,4.7
"RO","Candeias do Jamari","Pública",3.1,3.4,3.3,3.5,3.9,4.2,4.4,5.0
"RO","Castanheiras","Estadual",-,3.9,-,-,-,-,-,-
"RO","Castanheiras","Pública",-,3.9,-,-,-,-,-,-
"RO","Chupinguaia","Estadual",3.5,3.1,4.5,4.8,5.6,-,-,-
"RO","Chupinguaia","Municipal",3.8,4.0,4.8,5.1,-,5.1,5.2,4.6
"RO","Chupinguaia","Pública",3.7,3.5,4.7,5.1,5.5,5.1,5.2,4.6
"RO","Cujubim","Estadual",4.1,3.9,4.5,4.5,5.1,5.7,-,-
"RO","Cujubim","Municipal",2.7,2.9,3.5,3.8,4.1,4.4,4.5,4.2
"RO","Cujubim","Pública",3.0,3.0,3.6,3.9,4.3,4.5,4.5,4.2
"RO","Governador Jorge Teixeira","Estadual",3.0,3.6,3.3,-,3.8,5.0,-,-
"RO","Governador Jorge Teixeira","Municipal",3.0,3.5,4.2,4.0,5.1,5.9,5.5,5.2
