UF,MUNICIPIO,REDE,2017,2019
RO,Alta Floresta D'Oeste,Estadual,3.9,4.5
RO,Alta Floresta D'Oeste,Pública,3.9,4.5
RO,Ariquemes,Estadual,3.8,3.9
RO,Ariquemes,Federal,-,-
RO,Ariquemes,Pública,3.8,4.0
RO,Cabixi,Estadual,3.7,-
RO,Cabixi,Pública,3.7,-
RO,Cacoal,Estadual,3.7,4.1
RO,Cacoal,Federal,5.1,5.9
RO,Cacoal,Pública,3.9,4.4
RO,Cerejeiras,Estadual,3.8,4.6
RO,Cerejeiras,Pública,3.8,4.6
RO,Colorado do Oeste,Estadual,4.0,4.6
RO,Colorado do Oeste,Federal,4.7,4.8
RO,Colorado do Oeste,Pública,4.3,4.7
RO,Corumbiara,Estadual,3.9,4.6
RO,Corumbiara,Pública,3.9,4.6
RO,Costa Marques,Estadual,3.8,4.3
RO,Costa Marques,Pública,3.8,4.3
RO,Espigão D'Oeste,Estadual,4.1,4.5
RO,Espigão D'Oeste,Pública,4.1,4.5
RO,Guajará-Mirim,Estadual,3.1,3.7
RO,Guajará-Mirim,Federal,-,-
RO,Guajará-Mirim,Pública,3.2,4.0
RO,Jaru,Estadual,3.7,4.1
RO,Jaru,Pública,3.7,4.1
RO,Ji-Paraná,Estadual,4.0,4.2
RO,Ji-Paraná,Federal,5.5,-
RO,Ji-Paraná,Pública,4.2,4.2
RO,Machadinho D'Oeste,Estadual,4.3,4.0
RO,Machadinho D'Oeste,Pública,4.3,4.0
RO,Nova Brasilândia D'Oeste,Estadual,-,4.6
RO,Nova Brasilândia D'Oeste,Pública,-,4.6
RO,Ouro Preto do Oeste,Estadual,3.7,4.2
RO,Ouro Preto do Oeste,Pública,3.7,4.2
RO,Pimenta Bueno,Estadual,3.5,4.0
RO,Pimenta Bueno,Pública,3.5,4.0
RO,Porto Velho,Estadual,3.6,3.8
RO,Porto Velho,Federal,-,5.6
RO,Porto Velho,Pública,3.8,4.1
RO,Presidente Médici,Estadual,4.3,4.5
RO,Presidente Médici,Pública,4.3,4.5
RO,Rio Crespo,Estadual,4.3,4.0
RO,Rio Crespo,Pública,4.3,4.0
RO,Rolim de Moura,Estadual,4.4,4.7
RO,Rolim de Moura,Pública,4.4,4.7
RO,Santa Luzia D'Oeste,Estadual,4.2,4.7
RO,Santa Luzia D'Oeste,Pública,4.2,4.7
RO,Vilhena,Estadual,3.1,3.6
RO,Vilhena,Federal,4.3,-
RO,Vilhena,Pública,3.3,3.9
RO,São Miguel do Guaporé,Estadual,3.8,4.1
RO,São Miguel do Guaporé,Pública,3.8,4.1
RO,Nova Mamoré,Estadual,3.7,4.0
RO,Nova Mamoré,Pública,3.7,4.0
RO,Alvorada D'Oeste,Estadual,3.8,-
RO,Alvorada D'Oeste,Pública,3.8,-
RO,Alto Alegre dos Parecis,Estadual,4.1,4.2
RO,Alto Alegre dos Parecis,Pública,4.1,4.2
RO,Alto Paraíso,Estadual,3.1,3.0
RO,Alto Paraíso,Pública,3.1,3.0
RO,Buritis,Estadual,3.8,4.0
RO,Buritis,Pública,3.8,4.0
RO,Novo Horizonte do Oeste,Estadual,4.1,4.6
RO,Novo Horizonte do Oeste,Pública,4.1,4.6
RO,Cacaulândia,Estadual,4.1,-
RO,Cacaulândia,Pública,4.1,-
RO,Campo Novo de Rondônia,Estadual,3.7,4.0
RO,Campo Novo de Rondônia,Pública,3.7,4.0
RO,Candeias do Jamari,Estadual,3.7,3.8
RO,Candeias do Jamari,Pública,3.7,3.8
RO,Castanheiras,Estadual,4.3,-
RO,Castanheiras,Pública,4.3,-
RO,Chupinguaia,Estadual,3.0,-
RO,Chupinguaia,Pública,3.0,-
RO,Cujubim,Estadual,3.5,-
RO,Cujubim,Pública,3.5,-
RO,Governador Jorge Teixeira,Estadual,4.1,4.2
RO,Governador Jorge Teixeira,Pública,4.1,4.2
RO,Itapuã do Oeste,Estadual,3.7,3.4
RO,Itapuã do Oeste,Pública,3.7,3.4
RO,Ministro Andreazza,Estadual,4.1,4.4
RO,Ministro Andreazza,Pública,4.1,4.4
RO,Mirante da Serra,Estadual,3.1,3.6
RO,Mirante da Serra,Pública,3.1,3.6
RO,Monte Negro,Estadual,3.9,-
RO,Monte Negro,Pública,3.9,-
RO,Nova União,Estadual,3.4,4.0
RO,Nova União,Pública,3.4,4.0
RO,Parecis,Estadual,3.7,-
RO,Parecis,Pública,3.7,-
RO,Pimenteiras do Oeste,Estadual,3.4,3.6
RO,Pimenteiras do Oeste,Pública,3.4,3.6
RO,Primavera de Rondônia,Estadual,4.6,4.3
RO,Primavera de Rondônia,Pública,4.6,4.3
RO,São Felipe D'Oeste,Estadual,3.9,4.2
RO,São Felipe D'Oeste,Pública,3.9,4.2
RO,São Francisco do Guaporé,Estadual,4.1,4.4
RO,São Francisco do Guaporé,Pública,4.1,4.4
RO,Seringueiras,Estadual,4.3,4.4
RO,Seringueiras,Pública,4.3,4.4
RO,Teixeirópolis,Estadual,4.0,4.4
RO,Teixeirópolis,Pública,4.0,4.4
RO,Theobroma,Estadual,3.9,3.9
RO,Theobroma,Pública,3.9,3.9
RO,Urupá,Estadual,4.1,4.3
RO,Urupá,Pública,4.1,4.3
