MONTH,YEAR,STATE,TYPE,MIN,AVG,MAX
"04","2020","MG","GASOLINA",3.64,4.317330149025602,4.999
"09","2018","SE","DIESEL S10",3.3,3.782592857142857,4.12
"09","2017","PB","DIESEL S10",2.99,3.166411214953271,3.49
"12","2020","RJ","GASOLINA",4.45,4.921241050119332,5.399
"11","2019","PI","DIESEL S10",3.699,3.895585657370518,4.275
"11","2020","PI","DIESEL S10",3.339,3.633514705882353,4.046
"09","2019","TO","DIESEL",3.279,3.660269503546099,4.95
"09","2016","PA","GASOLINA",3.67,4.095470464135021,4.58
"07","2017","PI","DIESEL",2.8,3.0359166666666666,3.299
"12","2019","PI","ETANOL",3.25,3.4773675675675677,3.859
"09","2017","PA","DIESEL S10",2.91,3.423946428571429,4.05
"11","2020","RS","GNV",3.399,3.6241250000000003,3.94
"06","2016","RJ","GNV",1.769,2.154412416851441,2.899
"10","2018","PR","GNV",2.597,2.90355,3.35
"06","2017","SC","DIESEL S10",2.589,3.032027644230769,3.599
"11","2018","PI","GASOLINA",4.459,4.716610894941635,5.07
"01","2019","PI","GASOLINA",4.06,4.444802395209581,4.75
"06","2018","GO","GNV",3.89,3.89,3.89
"09","2017","AL","GNV",2.49,2.590818181818182,2.79
"11","2018","MG","DIESEL S10",3.47,3.827974669603524,4.452
"09","2016","PB","GASOLINA",3.399,3.669972222222222,3.89
"01","2019","MG","DIESEL S10",3.199,3.575032128514056,4.319
"09","2017","SE","GASOLINA",3.58,3.878534653465347,4.192
"06","2017","BA","DIESEL S10",2.69,3.0828740530303027,3.899
"04","2016","PE","DIESEL",2.79,3.018986885245902,3.2
"01","2016","SE","DIESEL",2.869,3.0073870967741936,3.269
"12","2018","MG","ETANOL",2.439,3.0239860169491526,3.782
"02","2019","MG","ETANOL",2.39,2.961572819644369,3.549
"10","2019","RJ","ETANOL",3.229,3.8530102774922916,4.799
"09","2017","RN","GNV",2.59,2.7673076923076922,2.87
"07","2017","BA","ETANOL",2.42,2.9671043276661515,3.729
"09","2016","MA","DIESEL S10",2.889,3.1429898218829515,3.4
"12","2020","PE","ETANOL",3.219,3.4966446886446887,3.992
"06","2016","PA","DIESEL S10",3.0,3.3839402985074627,3.799
"01","2020","PE","GASOLINA",4.079,4.520562421185372,5.096
"12","2016","DF","DIESEL",2.868,3.1998676470588236,3.49
"02","2017","DF","DIESEL",2.668,3.2781875,3.549
"02","2016","AC","DIESEL",3.427,3.645532786885246,3.9
"08","2018","CE","DIESEL S10",3.299,3.5026585612968595,3.91
"08","2018","RJ","DIESEL",3.099,3.4213926315789474,3.84
"09","2017","PE","DIESEL S10",2.739,3.082977777777778,3.4
"06","2017","SE","DIESEL S10",2.8,3.058525179856115,3.299
"04","2019","MG","GASOLINA",4.19,4.774295639844027,5.399
"06","2016","PB","DIESEL S10",2.859,3.112795918367347,3.399
