"Produto/Unidade","Mês/Ano","Preço Médio"
"ABACAXI PÉROLA (t)","01/2018",1848.47
"ABACAXI PÉROLA (t)","02/2018",1895.54
"ABACAXI PÉROLA (t)","03/2018",1975.41
"ABACAXI PÉROLA (t)","10/2018",1989.5
"ABACAXI PÉROLA (t)","11/2018",1989.5
"ABACAXI PÉROLA (t)","06/2019",2500
"ABACAXI PÉROLA (t)","07/2019",2304.35
"ABACAXI PÉROLA (t)","08/2019",2000
"ABACAXI PÉROLA (t)","09/2019",1887.5
"ABACAXI PÉROLA (t)","10/2019",1923.91
"ABACAXI PÉROLA (t)","11/2019",2100
"ABACAXI PÉROLA (t)","12/2019",2000
"ABACAXI PÉROLA (t)","01/2020",2000
"ABACAXI PÉROLA (t)","06/2020",1250
"ABACAXI PÉROLA (t)","07/2020",1424.28
"ABACAXI PÉROLA (t)","08/2020",1558.34
"ABACAXI PÉROLA (t)","09/2020",1714.66
"ABACAXI PÉROLA (t)","10/2020",1693.11
"ABACAXI PÉROLA (t)","11/2020",1675
"ABACAXI PÉROLA (t)","12/2020",1680
"ABACAXI PÉROLA (t)","01/2021",1364.85
"ABACAXI PÉROLA (t)","01/2022",1800
"ABACAXI PÉROLA (t)","02/2022",1778.95
"ABACAXI PÉROLA (t)","03/2022",1764.78
"ABACAXI PÉROLA (t)","04/2022",1765
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","01/2018",86.5
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","02/2018",90.1
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","03/2018",93.94
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","04/2018",91.49
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","05/2018",107.18
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","06/2018",121.83
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","07/2018",114.81
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","08/2018",105.58
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","09/2018",102.89
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","10/2018",101.55
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","11/2018",95.7
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","12/2018",97.61
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","01/2019",96.96
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","02/2019",95.39
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","03/2019",94.62
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","04/2019",95.21
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","05/2019",93.49
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","06/2019",91.23
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","07/2019",86.78
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","08/2019",80.23
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","09/2019",79.91
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","10/2019",79.43
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","11/2019",79.64
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","12/2019",86.15
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","01/2020",88.02
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","02/2020",92.51
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","03/2020",93.7
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","04/2020",92.45
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","05/2020",88.05
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","06/2020",90.18
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","07/2020",90.08
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","08/2020",98.83
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","09/2020",104.15
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","10/2020",115.53
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","11/2020",128.22
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","12/2020",126.78
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","01/2021",142.37
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","02/2021",155.44
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","03/2021",167.18
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","04/2021",161.22
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","05/2021",171.71
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","06/2021",167.29
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","07/2021",163.54
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","08/2021",171.4
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","05/2022",258.75
"ALGODÃO EM PLUMA TIPO BÁSICO - SLM 41-4 BRANCO (15 kg)","06/2022",251.14
"AMENDOIM EM CASCA (25 kg)","01/2018",38.85
"AMENDOIM EM CASCA (25 kg)","02/2018",39.58
"AMENDOIM EM CASCA (25 kg)","03/2018",37.15
"AMENDOIM EM CASCA (25 kg)","04/2018",37.61
"AMENDOIM EM CASCA (25 kg)","05/2018",42.93
"AMENDOIM EM CASCA (25 kg)","06/2018",43.03
"AMENDOIM EM CASCA (25 kg)","07/2018",43.08
"AMENDOIM EM CASCA (25 kg)","08/2018",44.34
"AMENDOIM EM CASCA (25 kg)","09/2018",42.31
"AMENDOIM EM CASCA (25 kg)","10/2018",44.82
"AMENDOIM EM CASCA (25 kg)","11/2018",44.72
"AMENDOIM EM CASCA (25 kg)","12/2018",43.66
"AMENDOIM EM CASCA (25 kg)","01/2019",45.03
"AMENDOIM EM CASCA (25 kg)","02/2019",45.94
"AMENDOIM EM CASCA (25 kg)","03/2019",45.43
"AMENDOIM EM CASCA (25 kg)","04/2019",47.09
"AMENDOIM EM CASCA (25 kg)","05/2019",48.65
"AMENDOIM EM CASCA (25 kg)","06/2019",52.37
"AMENDOIM EM CASCA (25 kg)","07/2019",53.89
"AMENDOIM EM CASCA (25 kg)","08/2019",55.21
"AMENDOIM EM CASCA (25 kg)","09/2019",58.07
"AMENDOIM EM CASCA (25 kg)","10/2019",64.5
"AMENDOIM EM CASCA (25 kg)","11/2019",71.25
"AMENDOIM EM CASCA (25 kg)","12/2019",73.94
"AMENDOIM EM CASCA (25 kg)","01/2020",72.4
"AMENDOIM EM CASCA (25 kg)","02/2020",55.61
"AMENDOIM EM CASCA (25 kg)","03/2020",59.56
"AMENDOIM EM CASCA (25 kg)","04/2020",60.19
"AMENDOIM EM CASCA (25 kg)","05/2020",61.51
"AMENDOIM EM CASCA (25 kg)","06/2020",69.72
"AMENDOIM EM CASCA (25 kg)","07/2020",72.99
"AMENDOIM EM CASCA (25 kg)","08/2020",79.89
"AMENDOIM EM CASCA (25 kg)","09/2020",94.26
"AMENDOIM EM CASCA (25 kg)","10/2020",99.88
"AMENDOIM EM CASCA (25 kg)","11/2020",114.1
"AMENDOIM EM CASCA (25 kg)","12/2020",121.17
"AMENDOIM EM CASCA (25 kg)","01/2021",105.22
"AMENDOIM EM CASCA (25 kg)","02/2021",93.25
"AMENDOIM EM CASCA (25 kg)","03/2021",97.07
"AMENDOIM EM CASCA (25 kg)","04/2021",98.17
"AMENDOIM EM CASCA (25 kg)","05/2021",96.8
"AMENDOIM EM CASCA (25 kg)","06/2021",92.17
"AMENDOIM EM CASCA (25 kg)","07/2021",86.93
"AMENDOIM EM CASCA (25 kg)","08/2021",94.39
"AMENDOIM EM CASCA (25 kg)","09/2021",94.04
"AMENDOIM EM CASCA (25 kg)","10/2021",93.01
"AMENDOIM EM CASCA (25 kg)","11/2021",85.84
"AMENDOIM EM CASCA (25 kg)","12/2021",82.1
"AMENDOIM EM CASCA (25 kg)","01/2022",75.68
"AMENDOIM EM CASCA (25 kg)","02/2022",74.15
"AMENDOIM EM CASCA (25 kg)","03/2022",64.61
"AMENDOIM EM CASCA (25 kg)","04/2022",56.15
"AMENDOIM EM CASCA (25 kg)","05/2022",61.04
"AMENDOIM EM CASCA (25 kg)","06/2022",64.9
"ARROZ LONGO FINO EM CASCA (60 kg)","01/2018",50.05
"ARROZ LONGO FINO EM CASCA (60 kg)","02/2018",47.75
"ARROZ LONGO FINO EM CASCA (60 kg)","03/2018",42.86
"ARROZ LONGO FINO EM CASCA (60 kg)","04/2018",42.76
"ARROZ LONGO FINO EM CASCA (60 kg)","05/2018",43.78
"ARROZ LONGO FINO EM CASCA (60 kg)","06/2018",43.86
"ARROZ LONGO FINO EM CASCA (60 kg)","07/2018",45.37
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","01/2018",50.05
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","02/2018",47.75
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","03/2018",42.8
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","04/2018",42.76
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","05/2018",43.78
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","06/2018",43.86
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","07/2018",45.37
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","08/2018",53.18
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","09/2018",55.48
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","10/2018",57.25
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","11/2018",53.99
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","12/2018",51.13
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","01/2019",50.48
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","02/2019",49.16
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","03/2019",49.18
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","04/2019",49.13
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","05/2019",53.53
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","06/2019",54.1
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","07/2019",51
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","08/2019",51.82
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","09/2019",55.19
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","10/2019",59.71
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","11/2019",63.03
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","12/2019",60.73
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","01/2020",59.27
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","02/2020",61.39
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","03/2020",61.02
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","04/2020",70.29
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","05/2020",78.5
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","06/2020",78.97
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","07/2020",81.4
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","08/2020",88.3
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","09/2020",130.43
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","10/2020",133.56
"ARROZ LONGO FINO EM CASCA TIPO 1 58/10 (60 kg)","11/2020",138.11
