"Produto/Unidade","Mês/Ano","Preço Médio"
"AÇÚCAR CRISTAL (5 kg)","01/2018",8.94
"AÇÚCAR CRISTAL (5 kg)","02/2018",8.52
"AÇÚCAR CRISTAL (5 kg)","03/2018",8.73
"AÇÚCAR CRISTAL (5 kg)","04/2018",10.51
"AÇÚCAR CRISTAL (5 kg)","05/2018",9.46
"AÇÚCAR CRISTAL (5 kg)","06/2018",8.82
"AÇÚCAR CRISTAL (5 kg)","07/2018",8.68
"AÇÚCAR REFINADO (kg)","07/2018",2.59
"AÇÚCAR REFINADO (kg)","08/2018",2.36
"AÇÚCAR REFINADO (kg)","09/2018",2.18
"AÇÚCAR REFINADO (kg)","10/2018",2.24
"AÇÚCAR REFINADO (kg)","11/2018",2.14
"AÇÚCAR REFINADO (kg)","12/2018",2.33
"AÇÚCAR REFINADO (kg)","01/2019",2.29
"AÇÚCAR REFINADO (kg)","02/2019",2.19
"AÇÚCAR REFINADO (kg)","03/2019",2.25
"AÇÚCAR REFINADO (kg)","04/2019",1.98
"AÇÚCAR REFINADO (kg)","05/2019",1.99
"AÇÚCAR REFINADO (kg)","06/2019",1.99
"AÇÚCAR REFINADO (kg)","07/2019",2.12
"AÇÚCAR REFINADO (kg)","08/2019",2.39
"AÇÚCAR REFINADO (kg)","09/2019",2.29
"AÇÚCAR REFINADO (kg)","10/2019",2.54
"AÇÚCAR REFINADO (kg)","11/2019",2.29
"AÇÚCAR REFINADO (kg)","12/2019",2.57
"AÇÚCAR REFINADO (kg)","01/2020",2.5
"AÇÚCAR REFINADO (kg)","02/2020",2.62
"AÇÚCAR REFINADO (kg)","03/2020",2.44
"AÇÚCAR REFINADO (kg)","04/2020",2.62
"AÇÚCAR REFINADO (kg)","05/2020",2.38
"AÇÚCAR REFINADO (kg)","06/2020",2.38
"AÇÚCAR REFINADO (kg)","07/2020",2.54
"AÇÚCAR REFINADO (kg)","08/2020",2.52
"AÇÚCAR REFINADO (kg)","09/2020",2.72
"AÇÚCAR REFINADO (kg)","10/2020",3.02
"AÇÚCAR REFINADO (kg)","11/2020",2.9
"AÇÚCAR REFINADO (kg)","12/2020",2.91
"AÇÚCAR REFINADO (kg)","01/2021",2.72
"AÇÚCAR REFINADO (kg)","02/2021",2.69
"AÇÚCAR REFINADO (kg)","03/2021",2.95
"AÇÚCAR REFINADO (kg)","04/2021",3.04
"AÇÚCAR REFINADO (kg)","05/2021",3.05
"AÇÚCAR REFINADO (kg)","06/2021",3.3
"AÇÚCAR REFINADO (kg)","07/2021",3.63
"AÇÚCAR REFINADO (kg)","08/2021",3.77
"AÇÚCAR REFINADO (kg)","09/2021",3.98
"AÇÚCAR REFINADO (kg)","10/2021",4.08
"AÇÚCAR REFINADO (kg)","11/2021",4.39
