data,ano,mes,hom_doloso,lesao_corp_morte,latrocinio,cvli,hom_por_interv_policial,letalidade_violenta,tentat_hom,lesao_corp_dolosa,estupro,hom_culposo,lesao_corp_culposa,roubo_transeunte,roubo_celular,roubo_em_coletivo,roubo_rua,roubo_veiculo,roubo_carga,roubo_comercio,roubo_residencia,roubo_banco,roubo_cx_eletronico,roubo_conducao_saque,roubo_apos_saque,roubo_bicicleta,outros_roubos,total_roubos,furto_veiculos,furto_transeunte,furto_coletivo,furto_celular,furto_bicicleta,outros_furtos,total_furtos,sequestro,extorsao,sequestro_relampago,estelionato,apreensao_drogas,posse_drogas,trafico_drogas,apreensao_drogas_sem_autor,recuperacao_veiculos,apf,aaapai,cmp,cmba,ameaca,pessoas_desaparecidas,encontro_cadaver,encontro_ossada,pol_militares_mortos_serv,pol_civis_mortos_serv,registro_ocorrencias,fase
2019-01-01,2019,1,386,2,15,403,159,562,577,6423,459,157,2334,7454,2414,1328,11196,3785,740,431,116,2,7,6,88,19,2365,18755,1415,2058,720,1581,168,7992,13934,0,129,6,3125,2021,792,1077,201,2810,2915,540,1266,236,5902,447,31,4,2,0,69609,3
2019-02-01,2019,2,323,5,8,336,145,481,450,5210,440,157,2045,7000,2111,1356,10467,3554,645,411,116,4,1,14,60,14,2124,17410,1344,1889,685,1613,158,7315,13004,0,144,7,3089,2090,798,1126,202,2556,3072,559,1392,235,4904,351,37,4,4,0,64967,3
2019-03-01,2019,3,344,5,11,360,132,492,590,5902,469,160,2157,7734,2626,1532,11892,3775,638,497,95,1,4,5,88,16,2547,19558,1364,2757,634,1889,202,8549,15395,0,159,6,3004,1941,740,1053,181,2470,3026,618,1392,306,5571,407,29,2,2,0,72100,3
2019-04-01,2019,4,360,1,11,372,124,496,466,5573,483,172,2182,7031,2424,1585,11040,3755,667,502,124,2,4,10,82,23,2245,18454,1244,1519,607,1318,211,7633,12532,0,151,11,3260,1909,745,1021,187,2624,3128,497,1648,350,5310,408,22,3,1,0,67797,3
2019-05-01,2019,5,345,2,15,362,172,534,478,4958,465,145,2304,7332,2427,1625,11384,3649,710,514,93,1,3,9,87,7,2216,18673,1480,1475,715,1423,220,7711,13024,0,147,7,3498,2034,735,1133,199,2450,3169,527,1771,248,5068,390,20,1,0,0,68336,3
2019-06-01,2019,6,332,3,8,343,153,496,436,4769,414,152,2481,6077,2187,1287,9551,3115,599,382,85,1,4,19,83,9,1984,15832,1251,1443,630,1345,189,7224,12082,0,133,6,3029,1854,763,976,158,2041,2848,467,1585,233,4497,403,20,1,3,0,61202,3
2019-07-01,2019,7,313,5,13,331,195,526,396,4739,402,150,2323,6636,2226,1208,10070,3197,691,385,72,1,0,12,97,16,2113,16654,1353,1570,746,1391,230,7632,12922,0,135,12,3628,1861,709,996,187,2355,2907,490,1856,267,4678,400,32,7,0,0,65817,3
2019-08-01,2019,8,320,1,6,327,173,500,455,4759,460,162,2431,6452,2244,1194,9890,3181,587,432,103,1,1,9,98,17,1796,16115,1361,1568,674,1534,185,7280,12602,0,132,12,3546,1862,668,1067,171,2081,3114,476,2028,265,4662,367,27,8,2,0,65285,3
2019-09-01,2019,9,310,6,7,323,154,477,344,4795,482,158,2350,5794,2067,996,8857,2613,467,363,80,0,2,9,80,20,1445,13936,1194,1341,598,1454,211,6839,11637,0,157,7,3344,1773,699,942,157,1903,2781,464,1987,247,4789,399,19,13,4,0,59844,3
2019-10-01,2019,10,321,4,4,329,146,475,427,5712,532,186,2368,6301,2207,1111,9619,3028,582,364,95,0,7,9,87,18,1739,15548,1198,1541,701,1892,239,7584,13155,0,152,14,4182,1910,766,1008,168,1813,2937,538,1791,282,5302,425,17,3,3,0,65855,3
