ano,id_municipio,PT,OUTRO
2002,1300409,1057,1491
2002,1300508,3134,2508
2002,1301506,678,1117
2002,1301902,19219,3816
2002,1600709,983,504
2002,5001003,4015,3518
2002,5003801,3200,3517
2002,5008008,2197,1839
2002,3200102,5932,5879
2002,3200508,825,656
2002,3202652,992,1631
2002,3204005,4303,2314
2002,3204203,2554,2004
2002,3204708,7273,3161
2002,3204906,22647,6431
2002,5103361,303,492
2002,5103957,466,734
2002,5106422,3325,4859
2002,2702405,9753,4604
2002,2703403,1111,615
2002,2703502,709,857
2002,2703759,570,1725
2002,2705903,286,966
2002,2707206,1093,1916
2002,2300804,705,479
2002,2301406,2043,719
2002,2302701,1488,1686
2002,2302909,3846,1111
2002,2304657,549,875
2002,2304905,805,372
2002,2306108,1847,693
2002,2306801,1429,450
2002,2306900,3979,2055
2002,2307007,6812,1379
2002,2307635,2923,426
2002,2309409,3234,1406
2002,2310258,1895,1323
2002,2310308,2510,2328
2002,2311108,3690,1126
2002,2311801,9956,1823
2002,2312403,5511,1850
2002,2312809,357,468
2002,2313500,5500,2368
2002,2313609,1667,1567
2002,1100031,1574,632
2002,1100064,4703,2091
2002,1100320,2661,1837
2002,1100502,2679,1074
2002,2101103,913,591
2002,2101202,15602,2861
2002,2101731,1004,102
2002,2102606,1138,802
2002,2104081,419,250
2002,2105351,833,619
2002,2106102,1454,329
2002,2108702,3120,672
2002,2109809,4507,526
2002,2111201,12817,1656
2002,2112233,3246,423
2002,2112274,489,210
2002,2112456,1843,191
2002,2501005,3498,2505
2002,2504108,597,276
2002,2505352,932,697
2002,2505808,1138,647
2002,2506905,5261,3898
2002,2508000,1012,2479
2002,2509107,3222,1849
2002,2511400,2869,3948
2002,2512507,5766,6266
2002,2512721,629,585
2002,2513406,2552,3629
2002,2513984,1102,744
2002,2515203,850,410
2002,2515930,1127,435
2002,2516300,2393,2942
2002,2804508,5194,2658
2002,2805109,1220,907
2002,2805307,1312,326
2002,2805604,4737,2783
2002,2806305,1592,1691
2002,2806701,13918,3363
2002,2201507,5629,2929
2002,2201556,672,661
2002,2201903,2290,3387
2002,2202091,667,1523
2002,2202539,517,1314
2002,2203354,1020,1418
2002,2203602,972,726
2002,2203800,571,1380
2002,2203859,360,938
2002,2205540,631,663
2002,2206670,1405,1088
